
---------- Begin Simulation Statistics ----------
final_tick                                   48385000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 233545                       # Simulator instruction rate (inst/s)
host_mem_usage                                2218488                       # Number of bytes of host memory used
host_op_rate                                   425205                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     0.21                       # Real time elapsed on the host
host_tick_rate                               79707343                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       49069                       # Number of instructions simulated
sim_ops                                         89448                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000017                       # Number of seconds simulated
sim_ticks                                    16772000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     41448                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    33034                       # number of cc regfile writes
system.cpu.committedInsts                       41160                       # Number of Instructions Simulated
system.cpu.committedOps                         74127                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.407483                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.407483                       # CPI: Total CPI of All Threads
system.cpu.iew.branchMispredicts                   35                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     8296                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     4.446637                       # Inst execution rate
system.cpu.iew.exec_refs                            9                       # number of memory reference insts executed
system.cpu.iew.exec_stores                          5                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                      70                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                     7                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                   14                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts               74775                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                     4                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts                40                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                 74579                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      0                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                     0                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                     35                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                     0                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents              0                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect            2                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             33                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    115288                       # num instructions consuming a value
system.cpu.iew.wb_count                         74579                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.573373                       # average fanout of values written-back
system.cpu.iew.wb_producers                     66103                       # num instructions producing a value
system.cpu.iew.wb_rate                       4.446637                       # insts written-back per cycle
system.cpu.iew.wb_sent                          74579                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                    99106                       # number of integer regfile reads
system.cpu.int_regfile_writes                   66243                       # number of integer regfile writes
system.cpu.ipc                               2.454090                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         2.454090                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                35      0.05%      0.05% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 74574     99.94%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     99.99% # Type of FU issued
