
---------- Begin Simulation Statistics ----------
final_tick                                   65856000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  50713                       # Simulator instruction rate (inst/s)
host_mem_usage                                2217468                       # Number of bytes of host memory used
host_op_rate                                   100246                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     0.44                       # Real time elapsed on the host
host_tick_rate                               69880836                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       22305                       # Number of instructions simulated
sim_ops                                         44117                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000031                       # Number of seconds simulated
sim_ticks                                    30758000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     24617                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    32774                       # number of cc regfile writes
system.cpu.committedInsts                       14396                       # Number of Instructions Simulated
system.cpu.committedOps                         28796                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.136566                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.136566                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                               7                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                 3832                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     6159                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.601827                       # Inst execution rate
system.cpu.iew.exec_refs                         4100                       # number of memory reference insts executed
system.cpu.iew.exec_stores                          3                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    6140                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                  6151                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               2048                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 6140                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts               82005                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                  4097                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts              6142                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                 49269                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      0                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                     0                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                   2048                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                     0                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents              1                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         3832                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect              0                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                     47288                       # num instructions consuming a value
system.cpu.iew.wb_count                         49265                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.824945                       # average fanout of values written-back
system.cpu.iew.wb_producers                     39010                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.601697                       # insts written-back per cycle
system.cpu.iew.wb_sent                          49268                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                    59509                       # number of integer regfile reads
system.cpu.int_regfile_writes                   43089                       # number of integer regfile writes
system.cpu.ipc                               0.468041                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.468041                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              2044      3.69%      3.69% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 49252     88.90%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     92.59% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead                 4105      7.41%     99.99% # Type of FU issued
