
---------- Begin Simulation Statistics ----------
final_tick                                  105766000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  42884                       # Simulator instruction rate (inst/s)
host_mem_usage                                2219508                       # Number of bytes of host memory used
host_op_rate                                   258091                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     0.66                       # Real time elapsed on the host
host_tick_rate                              111357985                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       28401                       # Number of instructions simulated
sim_ops                                        170995                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000074                       # Number of seconds simulated
sim_ticks                                    73785000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                    225281                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    40990                       # number of cc regfile writes
system.cpu.committedInsts                       20492                       # Number of Instructions Simulated
system.cpu.committedOps                        155674                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               3.600673                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         3.600673                       # CPI: Total CPI of All Threads
system.cpu.iew.branchMispredicts                    5                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     8212                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.112015                       # Inst execution rate
system.cpu.iew.exec_refs                           29                       # number of memory reference insts executed
system.cpu.iew.exec_stores                         13                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                      32                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                    19                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  5                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                   47                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              155980                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                    16                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts                 6                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                155835                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      0                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                     0                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                      5                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                     0                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents              0                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect            4                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect              1                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    387238                       # num instructions consuming a value
system.cpu.iew.wb_count                        155834                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.365207                       # average fanout of values written-back
system.cpu.iew.wb_producers                    141422                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.112001                       # insts written-back per cycle
system.cpu.iew.wb_sent                         155835                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   356576                       # number of integer regfile reads
system.cpu.int_regfile_writes                  204943                       # number of integer regfile writes
system.cpu.ipc                               0.277726                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.277726                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              4106      2.63%      2.63% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                123033     78.95%     81.58% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    0      0.00%     81.58% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 28672     18.40%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     99.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     99.98% # Type of FU issued
