
---------- Begin Simulation Statistics ----------
final_tick                                   65809000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  87972                       # Simulator instruction rate (inst/s)
host_mem_usage                                2217464                       # Number of bytes of host memory used
host_op_rate                                   174440                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     0.37                       # Real time elapsed on the host
host_tick_rate                               83507275                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       32571                       # Number of instructions simulated
sim_ops                                         64626                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000031                       # Number of seconds simulated
sim_ticks                                    30942000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     10254                       # number of cc regfile reads
system.cpu.cc_regfile_writes                     8253                       # number of cc regfile writes
system.cpu.committedInsts                       24662                       # Number of Instructions Simulated
system.cpu.committedOps                         49305                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.254643                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.254643                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    151610                       # number of floating regfile reads
system.cpu.fp_regfile_writes                    59427                       # number of floating regfile writes
system.cpu.idleCycles                             114                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                 2048                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     2054                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.586258                       # Inst execution rate
system.cpu.iew.exec_refs                           23                       # number of memory reference insts executed
system.cpu.iew.exec_stores                          7                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    4097                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                    16                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  1                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                    4                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts               98428                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                    16                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts              2058                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                 80024                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      0                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                     0                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                   2049                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                     0                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents              1                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         2048                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect              0                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                     37047                       # num instructions consuming a value
system.cpu.iew.wb_count                         80024                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.832186                       # average fanout of values written-back
system.cpu.iew.wb_producers                     30830                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.586258                       # insts written-back per cycle
system.cpu.iew.wb_sent                          80024                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                    20683                       # number of integer regfile reads
system.cpu.int_regfile_writes                   18534                       # number of integer regfile writes
system.cpu.ipc                               0.797040                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.797040                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                 2      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 32869     40.05%     40.05% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    1      0.00%     40.05% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     40.05% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   2      0.00%     40.05% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     40.05% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     40.05% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     40.05% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     40.05% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     40.05% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     40.05% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     40.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                24578     29.95%     70.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     70.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    2      0.00%     70.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     70.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     70.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               24599     29.97%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     99.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     99.97% # Type of FU issued
