
---------- Begin Simulation Statistics ----------
final_tick                                  103129000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 111950                       # Simulator instruction rate (inst/s)
host_mem_usage                                2218484                       # Number of bytes of host memory used
host_op_rate                                   266201                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     1.16                       # Real time elapsed on the host
host_tick_rate                               58608052                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                      129542                       # Number of instructions simulated
sim_ops                                        308096                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000068                       # Number of seconds simulated
sim_ticks                                    67835000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     21616                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    12694                       # number of cc regfile writes
system.cpu.committedInsts                      121633                       # Number of Instructions Simulated
system.cpu.committedOps                        292775                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.557702                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.557702                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    534252                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   283688                       # number of floating regfile writes
system.cpu.idleCycles                             356                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                 6303                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     8484                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     4.602580                       # Inst execution rate
system.cpu.iew.exec_refs                        33138                       # number of memory reference insts executed
system.cpu.iew.exec_stores                         34                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    8288                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                 33357                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 32                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                   66                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              344040                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                 33104                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts              6397                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                312216                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    126                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                     0                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                   2208                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                   189                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents              1                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         6303                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect              0                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    391580                       # num instructions consuming a value
system.cpu.iew.wb_count                        312088                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.604012                       # average fanout of values written-back
system.cpu.iew.wb_producers                    236519                       # num instructions producing a value
system.cpu.iew.wb_rate                       4.600693                       # insts written-back per cycle
system.cpu.iew.wb_sent                         312215                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                    92519                       # number of integer regfile reads
system.cpu.int_regfile_writes                   19844                       # number of integer regfile writes
system.cpu.ipc                               1.793071                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.793071                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              8481      2.66%      2.66% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                130526     40.97%     43.63% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    0      0.00%     43.63% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     43.63% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                6335      1.99%     45.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     45.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     45.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     45.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     45.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     45.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     45.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     45.62% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                41152     12.92%     58.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     58.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  128      0.04%     58.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     58.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     58.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               98400     30.88%     89.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     89.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     89.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                292      0.09%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     89.55% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead                  459      0.14%     89.69% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite                  34      0.01%     89.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead           32804     10.30%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total                 318611                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  300164                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads              585934                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       283720                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes             337412                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                       14396                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.045184                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                       1      0.01%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                      0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                      0      0.00%      0.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                 14393     99.98%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                      0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                     0      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead                 2      0.01%    100.00% # attempts to use FU when none available
