
---------- Begin Simulation Statistics ----------
final_tick                                   79804000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 141584                       # Simulator instruction rate (inst/s)
host_mem_usage                                2219508                       # Number of bytes of host memory used
host_op_rate                                   336642                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     0.92                       # Real time elapsed on the host
host_tick_rate                               52507422                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                      129542                       # Number of instructions simulated
sim_ops                                        308096                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000048                       # Number of seconds simulated
sim_ticks                                    48058000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     11241                       # number of cc regfile reads
system.cpu.cc_regfile_writes                     8614                       # number of cc regfile writes
system.cpu.committedInsts                      121633                       # Number of Instructions Simulated
system.cpu.committedOps                        292775                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.395107                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.395107                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    534238                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   279386                       # number of floating regfile writes
system.cpu.idleCycles                             358                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                   16                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     2255                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     6.094927                       # Inst execution rate
system.cpu.iew.exec_refs                        32912                       # number of memory reference insts executed
system.cpu.iew.exec_stores                         34                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    3184                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                 32921                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  2                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                   36                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts              293031                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                 32878                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts                17                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                292910                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      2                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                     0                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                     13                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                     3                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents              1                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect           11                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect              5                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    435783                       # num instructions consuming a value
system.cpu.iew.wb_count                        292894                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.574554                       # average fanout of values written-back
system.cpu.iew.wb_producers                    250381                       # num instructions producing a value
system.cpu.iew.wb_rate                       6.094594                       # insts written-back per cycle
system.cpu.iew.wb_sent                         292909                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                    79265                       # number of integer regfile reads
system.cpu.int_regfile_writes                   11131                       # number of integer regfile writes
system.cpu.ipc                               2.530963                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         2.530963                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               142      0.05%      0.05% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                119934     40.94%     40.99% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    0      0.00%     40.99% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     40.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                  42      0.01%     41.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     41.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     41.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     41.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     41.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     41.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     41.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     41.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                41160     14.05%     55.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     55.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  128      0.04%     55.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     55.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     55.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               98401     33.59%     88.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     88.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     88.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                201      0.07%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     88.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     88.76% # Type of FU issued
