
---------- Begin Simulation Statistics ----------
final_tick                                28751525000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  45275                       # Simulator instruction rate (inst/s)
host_mem_usage                                 846264                       # Number of bytes of host memory used
host_op_rate                                    86135                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   662.62                       # Real time elapsed on the host
host_tick_rate                               43390564                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000001                       # Number of instructions simulated
sim_ops                                      57074777                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.028752                       # Number of seconds simulated
sim_ticks                                 28751525000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  36259781                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 22933150                       # number of cc regfile writes
system.cpu.committedInsts                    30000001                       # Number of Instructions Simulated
system.cpu.committedOps                      57074777                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.916768                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.916768                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2509278                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1993298                       # number of floating regfile writes
system.cpu.idleCycles                         4974686                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               986977                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  7741015                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.406274                       # Inst execution rate
system.cpu.iew.exec_refs                     19246777                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    7714050                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 4296587                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              12748363                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               6352                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             78148                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              8618193                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            89889762                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              11532727                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1514600                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              80865030                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  16750                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1407756                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 901090                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1419130                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          15168                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       698496                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         288481                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  84329179                       # num instructions consuming a value
system.cpu.iew.wb_count                      79222684                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.651209                       # average fanout of values written-back
system.cpu.iew.wb_producers                  54915918                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.377713                       # insts written-back per cycle
system.cpu.iew.wb_sent                       80375049                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                114823473                       # number of integer regfile reads
system.cpu.int_regfile_writes                61029633                       # number of integer regfile writes
system.cpu.ipc                               0.521711                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.521711                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           2050945      2.49%      2.49% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              60236522     73.12%     75.61% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                49498      0.06%     75.67% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 12053      0.01%     75.68% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               45732      0.06%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 6399      0.01%     75.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     75.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                77192      0.09%     75.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   56      0.00%     75.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                37533      0.05%     75.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              131855      0.16%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4341      0.01%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             117      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             685      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              80      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            207      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     76.05% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             10132296     12.30%     88.35% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             5935892      7.21%     95.56% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         1712289      2.08%     97.64% # Type of FU issued
