
---------- Begin Simulation Statistics ----------
final_tick                                30057026000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  43371                       # Simulator instruction rate (inst/s)
host_mem_usage                                 846268                       # Number of bytes of host memory used
host_op_rate                                    82514                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   691.70                       # Real time elapsed on the host
host_tick_rate                               43453895                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000002                       # Number of instructions simulated
sim_ops                                      57074778                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.030057                       # Number of seconds simulated
sim_ticks                                 30057026000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  37123787                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 23523387                       # number of cc regfile writes
system.cpu.committedInsts                    30000002                       # Number of Instructions Simulated
system.cpu.committedOps                      57074778                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.003802                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.003802                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2540618                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  2006017                       # number of floating regfile writes
system.cpu.idleCycles                         5184425                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1231629                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  7987417                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.401512                       # Inst execution rate
system.cpu.iew.exec_refs                     19915643                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    7936529                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 4871434                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              13491169                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               6158                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             94836                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              9054063                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            95288371                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              11979114                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1880905                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              84250551                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  15351                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1393460                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1096068                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1402709                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          15439                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       922913                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         308716                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  87575023                       # num instructions consuming a value
system.cpu.iew.wb_count                      82440540                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.652434                       # average fanout of values written-back
system.cpu.iew.wb_producers                  57136925                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.371402                       # insts written-back per cycle
system.cpu.iew.wb_sent                       83669387                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                118729136                       # number of integer regfile reads
system.cpu.int_regfile_writes                63706399                       # number of integer regfile writes
system.cpu.ipc                               0.499051                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.499051                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           2201892      2.56%      2.56% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              63026823     73.18%     75.73% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                49818      0.06%     75.79% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 12034      0.01%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               51986      0.06%     75.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     75.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     75.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     75.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     75.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     75.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     75.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     75.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 6665      0.01%     75.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     75.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                78801      0.09%     75.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   48      0.00%     75.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                38011      0.04%     76.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              137183      0.16%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4620      0.01%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             118      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             652      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              78      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            177      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     76.17% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             10663611     12.38%     88.55% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             6188516      7.18%     95.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         1707442      1.98%     97.72% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite        1962803      2.28%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               86131458                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 4523014                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             8566267                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      3947538                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            7544292                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     1731816                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.020107                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  871197     50.31%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                     10      0.00%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     50.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                   2574      0.15%     50.45% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     50.45% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    280      0.02%     50.47% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   218      0.01%     50.48% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                    14      0.00%     50.48% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     50.48% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   53      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     50.49% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                 107371      6.20%     56.69% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                264486     15.27%     71.96% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead            403455     23.30%     95.26% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite            82158      4.74%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses               81138368                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads          220524585                       # Number of integer instruction queue reads
