
---------- Begin Simulation Statistics ----------
final_tick                                27855521000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  46631                       # Simulator instruction rate (inst/s)
host_mem_usage                                 844220                       # Number of bytes of host memory used
host_op_rate                                    88716                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   643.34                       # Real time elapsed on the host
host_tick_rate                               43298026                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000002                       # Number of instructions simulated
sim_ops                                      57074778                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.027856                       # Number of seconds simulated
sim_ticks                                 27855521000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  35491395                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 22428152                       # number of cc regfile writes
system.cpu.committedInsts                    30000002                       # Number of Instructions Simulated
system.cpu.committedOps                      57074778                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.857035                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.857035                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2514635                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  2007558                       # number of floating regfile writes
system.cpu.idleCycles                         4967972                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               832367                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  7548494                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.409633                       # Inst execution rate
system.cpu.iew.exec_refs                     18896117                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    7638823                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 3876906                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              12273456                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               6422                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             62754                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              8385477                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            85995311                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              11257294                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1244757                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              78532107                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  17046                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1386684                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 775437                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1399266                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          14599                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       597996                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         234371                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  81938564                       # num instructions consuming a value
system.cpu.iew.wb_count                      76999623                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.649770                       # average fanout of values written-back
system.cpu.iew.wb_producers                  53241232                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.382125                       # insts written-back per cycle
system.cpu.iew.wb_sent                       78113407                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                112278980                       # number of integer regfile reads
system.cpu.int_regfile_writes                59087169                       # number of integer regfile writes
system.cpu.ipc                               0.538493                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.538493                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1975170      2.48%      2.48% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              58136080     72.87%     75.35% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                49234      0.06%     75.41% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 11287      0.01%     75.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               44970      0.06%     75.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     75.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     75.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     75.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     75.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     75.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     75.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     75.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 6449      0.01%     75.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     75.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                73940      0.09%     75.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   30      0.00%     75.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                36788      0.05%     75.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              131088      0.16%     75.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     75.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     75.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4104      0.01%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             105      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             554      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              67      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            167      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     75.80% # Type of FU issued
