
---------- Begin Simulation Statistics ----------
final_tick                                31425157500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  42234                       # Simulator instruction rate (inst/s)
host_mem_usage                                 848316                       # Number of bytes of host memory used
host_op_rate                                    80350                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   710.33                       # Real time elapsed on the host
host_tick_rate                               44240396                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000000                       # Number of instructions simulated
sim_ops                                      57074776                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.031425                       # Number of seconds simulated
sim_ticks                                 31425157500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  38306480                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 24277391                       # number of cc regfile writes
system.cpu.committedInsts                    30000000                       # Number of Instructions Simulated
system.cpu.committedOps                      57074776                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.095011                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.095011                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2635138                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  2068832                       # number of floating regfile writes
system.cpu.idleCycles                         5370436                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1516664                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  8330207                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.403538                       # Inst execution rate
system.cpu.iew.exec_refs                     20638727                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    8200037                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 5545503                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              14179038                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               5226                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            105924                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              9488620                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           101173834                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              12438690                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2354829                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              88212814                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  13997                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1384452                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1308058                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1391796                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          15552                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1167376                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         349288                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  91007783                       # num instructions consuming a value
system.cpu.iew.wb_count                      86218089                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.654940                       # average fanout of values written-back
system.cpu.iew.wb_producers                  59604647                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.371800                       # insts written-back per cycle
system.cpu.iew.wb_sent                       87536829                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                123059676                       # number of integer regfile reads
system.cpu.int_regfile_writes                66640738                       # number of integer regfile writes
system.cpu.ipc                               0.477325                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.477325                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           2506543      2.77%      2.77% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              66264830     73.17%     75.93% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                51015      0.06%     75.99% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 11989      0.01%     76.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               60434      0.07%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 6601      0.01%     76.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     76.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                94934      0.10%     76.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   52      0.00%     76.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                40912      0.05%     76.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              145010      0.16%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4986      0.01%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             338      0.00%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            1128      0.00%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              84      0.00%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     76.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            527      0.00%     76.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     76.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     76.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     76.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     76.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     76.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     76.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     76.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     76.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     76.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     76.40% # Type of FU issued
