
---------- Begin Simulation Statistics ----------
final_tick                                29120626000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  44963                       # Simulator instruction rate (inst/s)
host_mem_usage                                 845240                       # Number of bytes of host memory used
host_op_rate                                    85542                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   667.21                       # Real time elapsed on the host
host_tick_rate                               43645336                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000000                       # Number of instructions simulated
sim_ops                                      57074776                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.029121                       # Number of seconds simulated
sim_ticks                                 29120626000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  36543130                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 23151231                       # number of cc regfile writes
system.cpu.committedInsts                    30000000                       # Number of Instructions Simulated
system.cpu.committedOps                      57074776                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.941375                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.941375                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2536107                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  2013744                       # number of floating regfile writes
system.cpu.idleCycles                         5031844                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1069831                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  7815659                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.407930                       # Inst execution rate
system.cpu.iew.exec_refs                     19490744                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    7802808                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 4434734                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              12987626                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               5884                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             81080                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              8800232                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            91583411                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              11687936                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1639417                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              81999628                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  16244                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1400077                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 967630                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1410021                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          15120                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       774409                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         295422                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  85406319                       # num instructions consuming a value
system.cpu.iew.wb_count                      80297563                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.651978                       # average fanout of values written-back
system.cpu.iew.wb_producers                  55683013                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.378706                       # insts written-back per cycle
system.cpu.iew.wb_sent                       81479872                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                116198932                       # number of integer regfile reads
system.cpu.int_regfile_writes                61930373                       # number of integer regfile writes
system.cpu.ipc                               0.515099                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.515099                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           2075733      2.48%      2.48% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              61173185     73.14%     75.62% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                49615      0.06%     75.68% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 12038      0.01%     75.69% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               51061      0.06%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 6668      0.01%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                77493      0.09%     75.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   60      0.00%     75.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                38086      0.05%     75.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              136902      0.16%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4588      0.01%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             114      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             748      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              65      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            199      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     76.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     76.07% # Type of FU issued
