
---------- Begin Simulation Statistics ----------
final_tick                                30739221000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  42370                       # Simulator instruction rate (inst/s)
host_mem_usage                                 847292                       # Number of bytes of host memory used
host_op_rate                                    80609                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   708.04                       # Real time elapsed on the host
host_tick_rate                               43414272                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000001                       # Number of instructions simulated
sim_ops                                      57074777                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.030739                       # Number of seconds simulated
sim_ticks                                 30739221000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  37850654                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 23980404                       # number of cc regfile writes
system.cpu.committedInsts                    30000001                       # Number of Instructions Simulated
system.cpu.committedOps                      57074777                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.049281                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.049281                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2572205                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  2023096                       # number of floating regfile writes
system.cpu.idleCycles                         5275541                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1377478                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  8179923                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.405100                       # Inst execution rate
system.cpu.iew.exec_refs                     20299121                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    8091083                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 5199422                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              13836184                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               5049                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            101653                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              9293858                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            98486919                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              12208038                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2140867                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              86383390                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  14837                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1384508                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1212051                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1392111                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          15172                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1047326                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         330152                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  89522866                       # num instructions consuming a value
system.cpu.iew.wb_count                      84478685                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.652724                       # average fanout of values written-back
system.cpu.iew.wb_producers                  58433750                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.374119                       # insts written-back per cycle
system.cpu.iew.wb_sent                       85753484                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                121230315                       # number of integer regfile reads
system.cpu.int_regfile_writes                65305202                       # number of integer regfile writes
system.cpu.ipc                               0.487976                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.487976                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           2344894      2.65%      2.65% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              64814843     73.22%     75.87% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                49995      0.06%     75.92% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 12048      0.01%     75.94% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               53208      0.06%     76.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     76.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     76.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     76.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     76.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     76.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     76.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     76.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 6452      0.01%     76.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     76.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                82933      0.09%     76.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   52      0.00%     76.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                38355      0.04%     76.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              137867      0.16%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  84      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4788      0.01%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             148      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             907      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              92      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            222      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     76.30% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     76.30% # Type of FU issued
