
---------- Begin Simulation Statistics ----------
final_tick                                 7935637500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  40311                       # Simulator instruction rate (inst/s)
host_mem_usage                                 810752                       # Number of bytes of host memory used
host_op_rate                                    76482                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   248.07                       # Real time elapsed on the host
host_tick_rate                               31989107                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      18973115                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.007936                       # Number of seconds simulated
sim_ticks                                  7935637500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11543134                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  6967655                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      18973115                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.587128                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.587128                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    480086                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   264368                       # number of floating regfile writes
system.cpu.idleCycles                         1499088                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               200889                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2401020                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.444398                       # Inst execution rate
system.cpu.iew.exec_refs                      4675877                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1734815                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  908213                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3178370                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1490                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             16090                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1906911                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            24730158                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2941062                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            301042                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              22924440                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6226                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                425650                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 173730                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                434902                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           3823                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       149607                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          51282                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  25647632                       # num instructions consuming a value
system.cpu.iew.wb_count                      22713013                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.634052                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16261921                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.431077                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22820718                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 32870040                       # number of integer regfile reads
system.cpu.int_regfile_writes                18092923                       # number of integer regfile writes
system.cpu.ipc                               0.630069                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.630069                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            378946      1.63%      1.63% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17906951     77.10%     78.73% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                14104      0.06%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  6365      0.03%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               18201      0.08%     78.90% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.90% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.90% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.90% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.90% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.90% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.90% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3735      0.02%     78.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                35653      0.15%     79.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   30      0.00%     79.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                23004      0.10%     79.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               60447      0.26%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               3941      0.02%     79.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              10      0.00%     79.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt              79      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               7      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             10      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.45% # Type of FU issued
