
---------- Begin Simulation Statistics ----------
final_tick                                 7606091000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  56483                       # Simulator instruction rate (inst/s)
host_mem_usage                                 811776                       # Number of bytes of host memory used
host_op_rate                                   107165                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   177.05                       # Real time elapsed on the host
host_tick_rate                               42961164                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      18973115                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.007606                       # Number of seconds simulated
sim_ticks                                  7606091000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11208227                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  6738443                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      18973115                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.521218                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.521218                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    462074                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   248526                       # number of floating regfile writes
system.cpu.idleCycles                         1470246                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               144599                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2321214                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.438549                       # Inst execution rate
system.cpu.iew.exec_refs                      4463346                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1665321                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  734648                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2956050                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1245                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             10325                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1809230                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23154499                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2798025                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            201903                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              21883478                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6704                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                430856                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 126350                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                440903                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           3611                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       111769                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          32830                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  24609923                       # num instructions consuming a value
system.cpu.iew.wb_count                      21722670                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.632027                       # average fanout of values written-back
system.cpu.iew.wb_producers                  15554126                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.427978                       # insts written-back per cycle
system.cpu.iew.wb_sent                       21808994                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 31601265                       # number of integer regfile reads
system.cpu.int_regfile_writes                17272229                       # number of integer regfile writes
system.cpu.ipc                               0.657368                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.657368                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            349274      1.58%      1.58% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17047119     77.19%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                13901      0.06%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  6363      0.03%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               15953      0.07%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3483      0.02%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                34770      0.16%     79.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   36      0.00%     79.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                22131      0.10%     79.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               59886      0.27%     79.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2746      0.01%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt              72      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               7      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              8      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.49% # Type of FU issued
