
---------- Begin Simulation Statistics ----------
final_tick                                 9041237500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  53123                       # Simulator instruction rate (inst/s)
host_mem_usage                                 811432                       # Number of bytes of host memory used
host_op_rate                                   100791                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   188.24                       # Real time elapsed on the host
host_tick_rate                               48029582                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      18973114                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.009041                       # Number of seconds simulated
sim_ticks                                  9041237500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12077833                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7393107                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      18973114                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.808248                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.808248                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    495280                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   271241                       # number of floating regfile writes
system.cpu.idleCycles                         1560056                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               381119                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2560542                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.391679                       # Inst execution rate
system.cpu.iew.exec_refs                      5100921                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1859645                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1285478                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3723611                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1447                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             50304                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              2160284                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            28485374                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               3241276                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            597942                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              25165000                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   5466                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                423367                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 328600                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                431130                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           3734                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       205790                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         175329                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  27424866                       # num instructions consuming a value
system.cpu.iew.wb_count                      24812883                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.644959                       # average fanout of values written-back
system.cpu.iew.wb_producers                  17687918                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.372206                       # insts written-back per cycle
system.cpu.iew.wb_sent                       24983013                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 35385475                       # number of integer regfile reads
system.cpu.int_regfile_writes                19848131                       # number of integer regfile writes
system.cpu.ipc                               0.553022                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.553022                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            512677      1.99%      1.99% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              19789831     76.82%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                14527      0.06%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  7019      0.03%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               18505      0.07%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3682      0.01%     78.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                38639      0.15%     79.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   96      0.00%     79.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                23530      0.09%     79.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               61303      0.24%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4334      0.02%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              42      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             151      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               5      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             64      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.47% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.47% # Type of FU issued
