
---------- Begin Simulation Statistics ----------
final_tick                                 8478997000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  51796                       # Simulator instruction rate (inst/s)
host_mem_usage                                 811448                       # Number of bytes of host memory used
host_op_rate                                    98273                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   193.07                       # Real time elapsed on the host
host_tick_rate                               43917819                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      18973114                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.008479                       # Number of seconds simulated
sim_ticks                                  8478997000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11908607                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7238040                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      18973114                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.695799                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.695799                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    486594                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   263898                       # number of floating regfile writes
system.cpu.idleCycles                         1557138                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               301506                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2504659                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.431310                       # Inst execution rate
system.cpu.iew.exec_refs                      4921595                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1807836                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1132382                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3463922                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1392                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             25098                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              2063419                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            26919102                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               3113759                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            459604                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              24272146                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6113                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                431326                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 257068                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                439820                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           4179                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       220002                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          81504                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  26916889                       # num instructions consuming a value
system.cpu.iew.wb_count                      23993078                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.637771                       # average fanout of values written-back
system.cpu.iew.wb_producers                  17166824                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.414853                       # insts written-back per cycle
system.cpu.iew.wb_sent                       24128207                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 34386109                       # number of integer regfile reads
system.cpu.int_regfile_writes                19167726                       # number of integer regfile writes
system.cpu.ipc                               0.589692                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.589692                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            445201      1.80%      1.80% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              19051471     77.03%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                14280      0.06%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  7024      0.03%     78.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               17923      0.07%     78.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3591      0.01%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                37236      0.15%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   46      0.00%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                22998      0.09%     79.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               60951      0.25%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4102      0.02%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              16      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             115      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               6      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             29      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     79.51% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              3084389     12.47%     91.98% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1659162      6.71%     98.69% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          124007      0.50%     99.19% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         199107      0.81%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               24731750                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  520512                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             1012810                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       468084                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes             782958                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      337595                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.013650                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  268846     79.64%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      1      0.00%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     79.64% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                    783      0.23%     79.87% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     79.87% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    213      0.06%     79.93% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   154      0.05%     79.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     79.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     79.98% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   32      0.01%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     79.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     79.99% # attempts to use FU when none available
