
---------- Begin Simulation Statistics ----------
final_tick                                21573601000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  60294                       # Simulator instruction rate (inst/s)
host_mem_usage                                 951392                       # Number of bytes of host memory used
host_op_rate                                   120434                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   497.56                       # Real time elapsed on the host
host_tick_rate                               43358630                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000002                       # Number of instructions simulated
sim_ops                                      59923262                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.021574                       # Number of seconds simulated
sim_ticks                                 21573601000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  31147798                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 18532970                       # number of cc regfile writes
system.cpu.committedInsts                    30000002                       # Number of Instructions Simulated
system.cpu.committedOps                      59923262                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.438240                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.438240                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1768660                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   863109                       # number of floating regfile writes
system.cpu.idleCycles                         2342865                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               382527                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  6774278                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.562700                       # Inst execution rate
system.cpu.iew.exec_refs                     14202442                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    5287495                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1932550                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               9362056                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1177                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             20668                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5661740                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            71186196                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               8914947                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            562250                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              67426133                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  17788                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1042408                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 337754                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1065284                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           5267                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       292601                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          89926                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  76152830                       # num instructions consuming a value
system.cpu.iew.wb_count                      67063903                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.621346                       # average fanout of values written-back
system.cpu.iew.wb_producers                  47317225                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.554305                       # insts written-back per cycle
system.cpu.iew.wb_sent                       67240206                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                102444737                       # number of integer regfile reads
system.cpu.int_regfile_writes                53665837                       # number of integer regfile writes
system.cpu.ipc                               0.695294                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.695294                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1020750      1.50%      1.50% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              51782953     76.16%     77.67% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               119632      0.18%     77.84% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 77160      0.11%     77.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               52247      0.08%     78.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.03% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                20620      0.03%     78.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               251922      0.37%     78.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   66      0.00%     78.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                99795      0.15%     78.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              171650      0.25%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              11309      0.02%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             107      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              8712937     12.82%     91.66% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             4758780      7.00%     98.66% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          318870      0.47%     99.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         589421      0.87%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               67988383                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 1640670                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             3198990                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      1503796                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            2218329                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     1110103                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.016328                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  932875     84.03%     84.03% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     84.03% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     84.03% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     84.03% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     84.03% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     84.03% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     84.03% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     84.03% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     84.03% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     84.03% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     84.03% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      7      0.00%     84.04% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     84.04% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                  20315      1.83%     85.87% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     85.87% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    464      0.04%     85.91% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   905      0.08%     85.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     85.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     85.99% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                  279      0.03%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     86.01% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                  52034      4.69%     90.70% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                 36527      3.29%     93.99% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead             30320      2.73%     96.72% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite            36377      3.28%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses               66437066                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads          174774361                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses     65560107                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes          80235836                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                   71174411                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                  67988383                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded               11785                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined        11262911                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued             82144                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved           8608                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined     12967321                       # Number of squashed operands that are examined and possibly removed from graph
