
---------- Begin Simulation Statistics ----------
final_tick                                 6357305500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  65979                       # Simulator instruction rate (inst/s)
host_mem_usage                                 886880                       # Number of bytes of host memory used
host_op_rate                                   128944                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   151.56                       # Real time elapsed on the host
host_tick_rate                               41944595                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000002                       # Number of instructions simulated
sim_ops                                      19543268                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006357                       # Number of seconds simulated
sim_ticks                                  6357305500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11628159                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7128065                       # number of cc regfile writes
system.cpu.committedInsts                    10000002                       # Number of Instructions Simulated
system.cpu.committedOps                      19543268                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.271461                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.271461                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1062984                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   513255                       # number of floating regfile writes
system.cpu.idleCycles                          475177                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               112016                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2212922                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.754572                       # Inst execution rate
system.cpu.iew.exec_refs                      4229118                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1638066                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  840119                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2754806                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                404                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              7269                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1789185                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23896282                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2591052                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            204200                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              22308706                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6835                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                672015                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 102381                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                681466                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            994                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        77763                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          34253                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  26952576                       # num instructions consuming a value
system.cpu.iew.wb_count                      22162035                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.596873                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16087257                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.743037                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22249259                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 32462186                       # number of integer regfile reads
system.cpu.int_regfile_writes                17674002                       # number of integer regfile writes
system.cpu.ipc                               0.786497                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.786497                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            409934      1.82%      1.82% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17348852     77.06%     78.88% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                57754      0.26%     79.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 40482      0.18%     79.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               24446      0.11%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                14903      0.07%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               153963      0.68%     80.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   54      0.00%     80.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                68716      0.31%     80.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               93424      0.41%     80.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               8153      0.04%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               3      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             103      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             50      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     80.94% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              2436105     10.82%     91.76% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1315174      5.84%     97.60% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          198680      0.88%     98.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         342009      1.52%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               22512910                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  973235                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             1896183                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       892574                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            1327917                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      499529                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.022189                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  409927     82.06%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      6      0.00%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     82.06% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                  13218      2.65%     84.71% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     84.71% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    351      0.07%     84.78% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   796      0.16%     84.94% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     84.94% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     84.94% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                  149      0.03%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     84.97% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                  17653      3.53%     88.50% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                 18677      3.74%     92.24% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead             22096      4.42%     96.67% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite            16656      3.33%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses               21629270                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads           55916110                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses     21269461                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes          26922224                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                   23891107                       # Number of instructions added to the IQ (excludes non-spec)
