
---------- Begin Simulation Statistics ----------
final_tick                                22829458500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  55168                       # Simulator instruction rate (inst/s)
host_mem_usage                                 951392                       # Number of bytes of host memory used
host_op_rate                                   110194                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   543.80                       # Real time elapsed on the host
host_tick_rate                               41981588                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000002                       # Number of instructions simulated
sim_ops                                      59923262                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.022829                       # Number of seconds simulated
sim_ticks                                 22829458500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  32165395                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 19323252                       # number of cc regfile writes
system.cpu.committedInsts                    30000002                       # Number of Instructions Simulated
system.cpu.committedOps                      59923262                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.521964                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.521964                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1819047                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   896141                       # number of floating regfile writes
system.cpu.idleCycles                         2471689                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               607082                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  7042925                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.556523                       # Inst execution rate
system.cpu.iew.exec_refs                     14919512                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    5521214                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 2557961                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              10110221                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1368                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             43408                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              6049114                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            76913358                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               9398298                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            911916                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              71069156                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  17518                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1084794                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 535250                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1107292                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           5937                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       429642                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         177440                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  79635872                       # num instructions consuming a value
system.cpu.iew.wb_count                      70520144                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.624172                       # average fanout of values written-back
system.cpu.iew.wb_producers                  49706468                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.544499                       # insts written-back per cycle
system.cpu.iew.wb_sent                       70780132                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                107036943                       # number of integer regfile reads
system.cpu.int_regfile_writes                56566683                       # number of integer regfile writes
system.cpu.ipc                               0.657046                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.657046                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1152924      1.60%      1.60% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              54788703     76.12%     77.72% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               121748      0.17%     77.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 83546      0.12%     78.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               53219      0.07%     78.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                21831      0.03%     78.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               257285      0.36%     78.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   66      0.00%     78.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               103080      0.14%     78.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              175331      0.24%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              14679      0.02%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             109      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             54      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     78.87% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              9227217     12.82%     91.69% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             5008365      6.96%     98.65% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          359177      0.50%     99.15% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         613628      0.85%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               71981072                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 1731778                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             3375852                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      1548718                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            2494583                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     1140050                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.015838                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  946437     83.02%     83.02% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     83.02% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     83.02% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     83.02% # attempts to use FU when none available
