
---------- Begin Simulation Statistics ----------
final_tick                                21537375000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  59840                       # Simulator instruction rate (inst/s)
host_mem_usage                                 949348                       # Number of bytes of host memory used
host_op_rate                                   119526                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   501.34                       # Real time elapsed on the host
host_tick_rate                               42959521                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000002                       # Number of instructions simulated
sim_ops                                      59923262                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.021537                       # Number of seconds simulated
sim_ticks                                 21537375000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  31171093                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 18536630                       # number of cc regfile writes
system.cpu.committedInsts                    30000002                       # Number of Instructions Simulated
system.cpu.committedOps                      59923262                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.435825                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.435825                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1765099                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   860023                       # number of floating regfile writes
system.cpu.idleCycles                         2341651                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               379645                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  6769524                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.564263                       # Inst execution rate
system.cpu.iew.exec_refs                     14206918                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    5278294                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1900870                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               9374130                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1494                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             21824                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5622200                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            71064701                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               8928624                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            537691                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              67380254                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  18156                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1029700                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 342203                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1053106                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           5149                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       260880                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         118765                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  76152669                       # num instructions consuming a value
system.cpu.iew.wb_count                      67015898                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.621537                       # average fanout of values written-back
system.cpu.iew.wb_producers                  47331697                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.555805                       # insts written-back per cycle
system.cpu.iew.wb_sent                       67193413                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                102446990                       # number of integer regfile reads
system.cpu.int_regfile_writes                53642898                       # number of integer regfile writes
system.cpu.ipc                               0.696464                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.696464                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1012967      1.49%      1.49% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              51727547     76.16%     77.65% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               119860      0.18%     77.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 77521      0.11%     77.94% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               50345      0.07%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                20599      0.03%     78.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               249019      0.37%     78.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   68      0.00%     78.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               100291      0.15%     78.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              172180      0.25%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              10226      0.02%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               6      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             108      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              8723334     12.84%     91.68% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             4743158      6.98%     98.66% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          319732      0.47%     99.13% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         590825      0.87%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               67917945                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 1637271                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             3191624                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      1503603                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            2184711                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     1082851                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.015944                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  908990     83.94%     83.94% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     83.94% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     83.94% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     83.94% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     83.94% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     83.94% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     83.94% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     83.94% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     83.94% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     83.94% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     83.94% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                     11      0.00%     83.95% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     83.95% # attempts to use FU when none available
