
---------- Begin Simulation Statistics ----------
final_tick                                24250836500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  45886                       # Simulator instruction rate (inst/s)
host_mem_usage                                 951392                       # Number of bytes of host memory used
host_op_rate                                    91655                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   653.80                       # Real time elapsed on the host
host_tick_rate                               37092410                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000002                       # Number of instructions simulated
sim_ops                                      59923262                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.024251                       # Number of seconds simulated
sim_ticks                                 24250836500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  33230706                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 20072934                       # number of cc regfile writes
system.cpu.committedInsts                    30000002                       # Number of Instructions Simulated
system.cpu.committedOps                      59923262                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.616722                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.616722                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1854648                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   921660                       # number of floating regfile writes
system.cpu.idleCycles                         2657750                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               872521                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  7362952                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.553984                       # Inst execution rate
system.cpu.iew.exec_refs                     15811257                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    5782026                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 3275904                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              11059127                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1296                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             56947                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              6489739                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            83408850                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              10029231                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1329693                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              75370808                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  17199                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1088160                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 757548                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1110003                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           6292                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       655566                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         216955                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  83864017                       # num instructions consuming a value
system.cpu.iew.wb_count                      74613105                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.626397                       # average fanout of values written-back
system.cpu.iew.wb_producers                  52532172                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.538361                       # insts written-back per cycle
system.cpu.iew.wb_sent                       74961261                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                112490467                       # number of integer regfile reads
system.cpu.int_regfile_writes                59995943                       # number of integer regfile writes
system.cpu.ipc                               0.618535                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.618535                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1317554      1.72%      1.72% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              58292297     76.00%     77.72% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               121850      0.16%     77.88% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 84038      0.11%     77.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               56201      0.07%     78.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.06% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                21960      0.03%     78.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               258769      0.34%     78.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   66      0.00%     78.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               104761      0.14%     78.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              177417      0.23%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              16116      0.02%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             110      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.81% # Type of FU issued
