
---------- Begin Simulation Statistics ----------
final_tick                                 6322029500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  67199                       # Simulator instruction rate (inst/s)
host_mem_usage                                 885928                       # Number of bytes of host memory used
host_op_rate                                   131328                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   148.81                       # Real time elapsed on the host
host_tick_rate                               42483151                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      19543333                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006322                       # Number of seconds simulated
sim_ticks                                  6322029500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11621355                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7115959                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      19543333                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.264406                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.264406                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1060592                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   512407                       # number of floating regfile writes
system.cpu.idleCycles                          475650                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               105816                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2207662                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.758493                       # Inst execution rate
system.cpu.iew.exec_refs                      4217739                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1632463                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  814728                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2742306                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                414                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6919                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1770051                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23764601                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2585276                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            190004                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              22234491                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6913                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                673019                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  98158                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                682538                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            966                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        67113                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          38703                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  26883718                       # num instructions consuming a value
system.cpu.iew.wb_count                      22089221                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.596920                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16047423                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.747004                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22176287                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 32384640                       # number of integer regfile reads
system.cpu.int_regfile_writes                17613864                       # number of integer regfile writes
system.cpu.ipc                               0.790885                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.790885                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            407087      1.82%      1.82% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17282049     77.07%     78.88% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                57692      0.26%     79.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 40346      0.18%     79.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               23794      0.11%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     79.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                14849      0.07%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               152733      0.68%     80.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   54      0.00%     80.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                68847      0.31%     80.48% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               93628      0.42%     80.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               7701      0.03%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               6      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             106      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             52      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.93% # Type of FU issued
