
---------- Begin Simulation Statistics ----------
final_tick                                 6433104500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  63069                       # Simulator instruction rate (inst/s)
host_mem_usage                                 886184                       # Number of bytes of host memory used
host_op_rate                                   123257                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   158.56                       # Real time elapsed on the host
host_tick_rate                               40572763                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      19543333                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006433                       # Number of seconds simulated
sim_ticks                                  6433104500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11662236                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7180225                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      19543333                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.286621                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.286621                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1069130                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   520748                       # number of floating regfile writes
system.cpu.idleCycles                          475229                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               121142                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2222140                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.752722                       # Inst execution rate
system.cpu.iew.exec_refs                      4292262                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1660075                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  881331                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2804794                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                455                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             12156                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1808922                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            24230099                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2632187                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            217599                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              22550886                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6532                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                607570                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 110288                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                616755                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            961                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        70928                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          50214                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  27086313                       # num instructions consuming a value
system.cpu.iew.wb_count                      22387669                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.598845                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16220496                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.740036                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22484491                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 32811693                       # number of integer regfile reads
system.cpu.int_regfile_writes                17851688                       # number of integer regfile writes
system.cpu.ipc                               0.777230                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.777230                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            430693      1.89%      1.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17515547     76.93%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                58123      0.26%     79.08% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 40808      0.18%     79.26% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               22388      0.10%     79.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     79.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     79.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                15247      0.07%     79.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               153438      0.67%     80.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   54      0.00%     80.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                69804      0.31%     80.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               94591      0.42%     80.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               7865      0.03%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               6      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             108      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             53      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     80.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     80.85% # Type of FU issued
