
---------- Begin Simulation Statistics ----------
final_tick                                 6692172500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  60497                       # Simulator instruction rate (inst/s)
host_mem_usage                                 885860                       # Number of bytes of host memory used
host_op_rate                                   118230                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   165.30                       # Real time elapsed on the host
host_tick_rate                               40485260                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000002                       # Number of instructions simulated
sim_ops                                      19543268                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006692                       # Number of seconds simulated
sim_ticks                                  6692172500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11938636                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7443467                       # number of cc regfile writes
system.cpu.committedInsts                    10000002                       # Number of Instructions Simulated
system.cpu.committedOps                      19543268                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.338434                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.338434                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1077544                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   528283                       # number of floating regfile writes
system.cpu.idleCycles                          474153                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               166768                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2280608                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.750525                       # Inst execution rate
system.cpu.iew.exec_refs                      4417174                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1694056                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1047052                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2964077                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                386                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             13790                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1888810                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            25801075                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2723118                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            314972                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              23429638                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6432                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                712562                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 151157                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                721526                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1138                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       100095                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          66673                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  28027146                       # num instructions consuming a value
system.cpu.iew.wb_count                      23225916                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.601845                       # average fanout of values written-back
system.cpu.iew.wb_producers                  16867985                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.735305                       # insts written-back per cycle
system.cpu.iew.wb_sent                       23339062                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 33773683                       # number of integer regfile reads
system.cpu.int_regfile_writes                18599850                       # number of integer regfile writes
system.cpu.ipc                               0.747142                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.747142                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            449213      1.89%      1.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              18309180     77.11%     79.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                58918      0.25%     79.25% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 44656      0.19%     79.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               24587      0.10%     79.54% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.54% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     79.54% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.54% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.54% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.54% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.54% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     79.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                15280      0.06%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               156486      0.66%     80.26% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   56      0.00%     80.26% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                70158      0.30%     80.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               95176      0.40%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               9526      0.04%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             107      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             52      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     81.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     81.00% # Type of FU issued
