
---------- Begin Simulation Statistics ----------
final_tick                                 6255158000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  57677                       # Simulator instruction rate (inst/s)
host_mem_usage                                 887208                       # Number of bytes of host memory used
host_op_rate                                   112720                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   173.38                       # Real time elapsed on the host
host_tick_rate                               36077918                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      19543333                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006255                       # Number of seconds simulated
sim_ticks                                  6255158000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  11559478                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  7082801                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      19543333                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.251032                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.251032                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1042705                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   504363                       # number of floating regfile writes
system.cpu.idleCycles                          484814                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                87586                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2186030                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.759027                       # Inst execution rate
system.cpu.iew.exec_refs                      4168117                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1614159                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  771438                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2682715                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                462                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              5147                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1729441                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23377805                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2553958                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            158501                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              22005981                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6981                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                675206                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  83059                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                684914                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            803                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        50538                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          37048                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  26712400                       # num instructions consuming a value
system.cpu.iew.wb_count                      21873220                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.595852                       # average fanout of values written-back
system.cpu.iew.wb_producers                  15916636                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.748415                       # insts written-back per cycle
system.cpu.iew.wb_sent                       21956035                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 32106172                       # number of integer regfile reads
system.cpu.int_regfile_writes                17450149                       # number of integer regfile writes
system.cpu.ipc                               0.799340                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.799340                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            397155      1.79%      1.79% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17104613     77.17%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                57839      0.26%     79.22% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 40560      0.18%     79.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               20876      0.09%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     79.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                14723      0.07%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               148928      0.67%     80.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   54      0.00%     80.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                67558      0.30%     80.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               93059      0.42%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               6151      0.03%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             106      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             51      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.99% # Type of FU issued
