
---------- Begin Simulation Statistics ----------
final_tick                                16069191000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  70984                       # Simulator instruction rate (inst/s)
host_mem_usage                                 674096                       # Number of bytes of host memory used
host_op_rate                                   133894                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   422.63                       # Real time elapsed on the host
host_tick_rate                               38021625                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000004                       # Number of instructions simulated
sim_ops                                      56587904                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.016069                       # Number of seconds simulated
sim_ticks                                 16069191000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  36696827                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 17584251                       # number of cc regfile writes
system.cpu.committedInsts                    30000004                       # Number of Instructions Simulated
system.cpu.committedOps                      56587904                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.071279                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.071279                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1605108                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   881292                       # number of floating regfile writes
system.cpu.idleCycles                           85696                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               230250                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  6605112                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.858669                       # Inst execution rate
system.cpu.iew.exec_refs                     12074494                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    4981463                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 2430890                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               7206375                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 73                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              4378                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5062271                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            61208334                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               7093031                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            467063                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              59734620                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  22478                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2151853                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 171949                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2192845                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            428                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       180067                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          50183                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  67619130                       # num instructions consuming a value
system.cpu.iew.wb_count                      59586142                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.608497                       # average fanout of values written-back
system.cpu.iew.wb_producers                  41146062                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.854049                       # insts written-back per cycle
system.cpu.iew.wb_sent                       59641883                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 92821905                       # number of integer regfile reads
system.cpu.int_regfile_writes                47680173                       # number of integer regfile writes
system.cpu.ipc                               0.933463                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.933463                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            588411      0.98%      0.98% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              46097320     76.57%     77.55% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               259198      0.43%     77.98% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                373157      0.62%     78.60% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              128462      0.21%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  482      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                65568      0.11%     78.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               104951      0.17%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              371626      0.62%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                378      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.71% # Type of FU issued
