
---------- Begin Simulation Statistics ----------
final_tick                                15785587500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  74422                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675124                       # Number of bytes of host memory used
host_op_rate                                   140379                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   403.11                       # Real time elapsed on the host
host_tick_rate                               39159790                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000004                       # Number of instructions simulated
sim_ops                                      56587904                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.015786                       # Number of seconds simulated
sim_ticks                                 15785587500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  36268670                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 17389082                       # number of cc regfile writes
system.cpu.committedInsts                    30000004                       # Number of Instructions Simulated
system.cpu.committedOps                      56587904                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.052372                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.052372                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1607279                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   897458                       # number of floating regfile writes
system.cpu.idleCycles                           86208                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               151027                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  6514541                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.882457                       # Inst execution rate
system.cpu.iew.exec_refs                     12116072                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    4966378                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 2481957                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               7271676                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 69                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              4492                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5095229                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            61163928                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               7149694                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            333734                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              59431391                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  18262                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2109642                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 124144                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2147558                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            458                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       119874                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          31153                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  67433637                       # num instructions consuming a value
system.cpu.iew.wb_count                      59222104                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.608415                       # average fanout of values written-back
system.cpu.iew.wb_producers                  41027659                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.875828                       # insts written-back per cycle
system.cpu.iew.wb_sent                       59298713                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 92156334                       # number of integer regfile reads
system.cpu.int_regfile_writes                47448777                       # number of integer regfile writes
system.cpu.ipc                               0.950234                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.950234                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            585857      0.98%      0.98% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              45642709     76.37%     77.35% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               263978      0.44%     77.79% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                383887      0.64%     78.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              128424      0.21%     78.65% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.65% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.65% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.65% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.65% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.65% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.65% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  471      0.00%     78.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                65450      0.11%     78.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               105878      0.18%     78.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              371480      0.62%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                331      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     79.56% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              6860288     11.48%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             4547455      7.61%     98.65% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          359708      0.60%     99.25% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         449153      0.75%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               59765127                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 1598787                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             3163973                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      1427113                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            2304497                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      889866                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.014889                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  736723     82.79%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                     21      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      1      0.00%     82.79% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                   1846      0.21%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                     6      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    1      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     83.00% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     83.00% # attempts to use FU when none available
