
---------- Begin Simulation Statistics ----------
final_tick                                 5425768000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  69355                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675124                       # Number of bytes of host memory used
host_op_rate                                   130715                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   144.19                       # Real time elapsed on the host
host_tick_rate                               37630469                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000001                       # Number of instructions simulated
sim_ops                                      18847133                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005426                       # Number of seconds simulated
sim_ticks                                  5425768000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12268613                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  5928271                       # number of cc regfile writes
system.cpu.committedInsts                    10000001                       # Number of Instructions Simulated
system.cpu.committedOps                      18847133                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.085154                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.085154                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    539845                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   299411                       # number of floating regfile writes
system.cpu.idleCycles                           84779                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                78696                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2211251                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.847106                       # Inst execution rate
system.cpu.iew.exec_refs                      4046272                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1654332                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  888729                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2438080                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 73                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1717                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1682519                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20624664                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2391940                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            163295                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              20043940                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6951                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                709154                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  58670                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                723101                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            198                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        63360                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          15336                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  22710760                       # num instructions consuming a value
system.cpu.iew.wb_count                      19976544                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.609503                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13842280                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.840895                       # insts written-back per cycle
system.cpu.iew.wb_sent                       19999794                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 31033562                       # number of integer regfile reads
system.cpu.int_regfile_writes                15986410                       # number of integer regfile writes
system.cpu.ipc                               0.921529                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.921529                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            194483      0.96%      0.96% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              15488751     76.65%     77.61% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                85455      0.42%     78.03% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                116686      0.58%     78.61% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               42877      0.21%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  491      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                22868      0.11%     78.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                35952      0.18%     79.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              123266      0.61%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                385      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.73% # Type of FU issued
