
---------- Begin Simulation Statistics ----------
final_tick                                15787580000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  71816                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675120                       # Number of bytes of host memory used
host_op_rate                                   135464                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   417.73                       # Real time elapsed on the host
host_tick_rate                               37793293                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000004                       # Number of instructions simulated
sim_ops                                      56587904                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.015788                       # Number of seconds simulated
sim_ticks                                 15787580000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  36179348                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 17297329                       # number of cc regfile writes
system.cpu.committedInsts                    30000004                       # Number of Instructions Simulated
system.cpu.committedOps                      56587904                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.052505                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.052505                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1583965                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   869225                       # number of floating regfile writes
system.cpu.idleCycles                           88123                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               158737                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  6499656                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.874096                       # Inst execution rate
system.cpu.iew.exec_refs                     12067237                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    4966395                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 2474237                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               7202269                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 63                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              4421                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5097434                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            60805246                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               7100842                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            308197                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              59174875                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  18450                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2104924                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 134077                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2142952                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            441                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       115592                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          43145                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  67169250                       # num instructions consuming a value
system.cpu.iew.wb_count                      59024683                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.607744                       # average fanout of values written-back
system.cpu.iew.wb_producers                  40821689                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.869339                       # insts written-back per cycle
system.cpu.iew.wb_sent                       59092548                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 91986647                       # number of integer regfile reads
system.cpu.int_regfile_writes                47283892                       # number of integer regfile writes
system.cpu.ipc                               0.950114                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.950114                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            588890      0.99%      0.99% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              45432790     76.38%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               263852      0.44%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                383871      0.65%     78.46% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              128356      0.22%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  450      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                65432      0.11%     78.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                99383      0.17%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              367481      0.62%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                320      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.57% # Type of FU issued
