
---------- Begin Simulation Statistics ----------
final_tick                                 5424029000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  74447                       # Simulator instruction rate (inst/s)
host_mem_usage                                 674164                       # Number of bytes of host memory used
host_op_rate                                   140311                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   134.32                       # Real time elapsed on the host
host_tick_rate                               40380199                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000001                       # Number of instructions simulated
sim_ops                                      18847133                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005424                       # Number of seconds simulated
sim_ticks                                  5424029000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12258263                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  5916414                       # number of cc regfile writes
system.cpu.committedInsts                    10000001                       # Number of Instructions Simulated
system.cpu.committedOps                      18847133                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.084806                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.084806                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    538237                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   296690                       # number of floating regfile writes
system.cpu.idleCycles                           85339                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                79575                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2209774                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.844625                       # Inst execution rate
system.cpu.iew.exec_refs                      4037343                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1653753                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  883003                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2427692                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 73                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1661                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1682435                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20565050                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2383590                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            162010                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              20010605                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6944                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                707507                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  59678                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                721402                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            190                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        62824                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          16751                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  22673858                       # num instructions consuming a value
system.cpu.iew.wb_count                      19951443                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.609238                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13813773                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.839172                       # insts written-back per cycle
system.cpu.iew.wb_sent                       19972753                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 31008733                       # number of integer regfile reads
system.cpu.int_regfile_writes                15963900                       # number of integer regfile writes
system.cpu.ipc                               0.921824                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.921824                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            195143      0.97%      0.97% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              15464058     76.66%     77.63% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                85444      0.42%     78.05% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                116693      0.58%     78.63% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               42851      0.21%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  483      0.00%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                22699      0.11%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                35638      0.18%     79.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              123208      0.61%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                375      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              2318359     11.49%     91.24% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1518680      7.53%     98.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead           99589      0.49%     99.26% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         149338      0.74%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               20172616                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  512173                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             1014016                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       476438                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes             637523                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      347132                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.017208                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  286458     82.52%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      1      0.00%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     82.52% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                     28      0.01%     82.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      2      0.00%     82.53% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                     95      0.03%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                    20      0.01%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    1      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     82.56% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                  33371      9.61%     92.18% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                 16067      4.63%     96.81% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead               593      0.17%     96.98% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite            10496      3.02%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses               19812432                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads           50448995                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses     19475005                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes          21645606                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                   20564871                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                  20172616                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                 179                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined         1717905                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued              7928                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved            113                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined      1980027                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples      10762720                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.874305                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        2.385232                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0             5504626     51.15%     51.15% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1              744240      6.91%     58.06% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2              889563      8.27%     66.33% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3              936471      8.70%     75.03% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4              767200      7.13%     82.15% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5              598888      5.56%     87.72% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6              716110      6.65%     94.37% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7              365039      3.39%     97.76% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8              240583      2.24%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total        10762720                       # Number of insts issued each cycle
system.cpu.iq.rate                           1.859560                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                      0                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads                  0                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses            0                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes                 0                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads             69407                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores            13977                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads              2427692                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores             1682435                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads                 8431532                       # number of misc regfile reads
system.cpu.misc_regfile_writes                     18                       # number of misc regfile writes
system.cpu.numCycles                         10848059                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                             907                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.workload.numSyscalls                    54                       # Number of system calls
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests        30279                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests         69282                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
