
---------- Begin Simulation Statistics ----------
final_tick                                15704747500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  71217                       # Simulator instruction rate (inst/s)
host_mem_usage                                 676144                       # Number of bytes of host memory used
host_op_rate                                   134334                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   421.25                       # Real time elapsed on the host
host_tick_rate                               37281620                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000004                       # Number of instructions simulated
sim_ops                                      56587904                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.015705                       # Number of seconds simulated
sim_ticks                                 15704747500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  35750179                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 17055429                       # number of cc regfile writes
system.cpu.committedInsts                    30000004                       # Number of Instructions Simulated
system.cpu.committedOps                      56587904                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.046983                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.046983                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1569946                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   859680                       # number of floating regfile writes
system.cpu.idleCycles                           87708                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               112608                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  6429003                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.852232                       # Inst execution rate
system.cpu.iew.exec_refs                     11850964                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    4949019                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 2511975                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               6965600                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 56                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              4383                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5029223                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            58936193                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               6901945                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            262498                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              58177671                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  22781                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2099447                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  89690                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2140195                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            471                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        96115                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          16493                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  65982320                       # num instructions consuming a value
system.cpu.iew.wb_count                      58104099                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.607296                       # average fanout of values written-back
system.cpu.iew.wb_producers                  40070772                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.849890                       # insts written-back per cycle
system.cpu.iew.wb_sent                       58128945                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 90721519                       # number of integer regfile reads
system.cpu.int_regfile_writes                46401872                       # number of integer regfile writes
system.cpu.ipc                               0.955125                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.955125                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            585132      1.00%      1.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              44631981     76.37%     77.37% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               258034      0.44%     77.81% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                373283      0.64%     78.45% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              128305      0.22%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  485      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                65095      0.11%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                96018      0.16%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              364730      0.62%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                323      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     79.57% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              6692931     11.45%     91.03% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             4534555      7.76%     98.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          260405      0.45%     99.23% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         448836      0.77%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               58440171                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 1478965                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             2923727                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      1399894                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            1640605                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      850664                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.014556                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  700863     82.39%     82.39% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     82.39% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     82.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     82.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     82.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     82.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     82.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     82.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     82.39% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     82.39% # attempts to use FU when none available
