
---------- Begin Simulation Statistics ----------
final_tick                                 5466209500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  56908                       # Simulator instruction rate (inst/s)
host_mem_usage                                 676472                       # Number of bytes of host memory used
host_op_rate                                   107255                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   175.72                       # Real time elapsed on the host
host_tick_rate                               31107100                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000001                       # Number of instructions simulated
sim_ops                                      18847133                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005466                       # Number of seconds simulated
sim_ticks                                  5466209500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12241653                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  5900831                       # number of cc regfile writes
system.cpu.committedInsts                    10000001                       # Number of Instructions Simulated
system.cpu.committedOps                      18847133                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.093242                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.093242                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    529744                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   291025                       # number of floating regfile writes
system.cpu.idleCycles                           86070                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                86174                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2209260                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.831609                       # Inst execution rate
system.cpu.iew.exec_refs                      4065193                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1667960                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  891736                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2433244                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 59                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1570                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1697544                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20583491                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2397233                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            168590                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              20023923                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   7018                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                709438                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  67790                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                723463                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            187                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        63207                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          22967                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  22699190                       # num instructions consuming a value
system.cpu.iew.wb_count                      19967282                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.608642                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13815674                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.826428                       # insts written-back per cycle
system.cpu.iew.wb_sent                       19991161                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 31114991                       # number of integer regfile reads
system.cpu.int_regfile_writes                15976096                       # number of integer regfile writes
system.cpu.ipc                               0.914711                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.914711                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            192917      0.96%      0.96% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              15467802     76.60%     77.56% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                85449      0.42%     77.98% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                116744      0.58%     78.56% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               42655      0.21%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  452      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                22202      0.11%     78.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                33797      0.17%     79.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              121822      0.60%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                265      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     79.65% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              2339406     11.59%     91.24% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1531458      7.58%     98.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead           88541      0.44%     99.26% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         148946      0.74%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               20192514                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  496928                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads              982599                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       470218                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes             558749                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      341885                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.016931                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  281011     82.19%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     82.19% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                     14      0.00%     82.20% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      2      0.00%     82.20% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    501      0.15%     82.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   244      0.07%     82.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     82.42% # attempts to use FU when none available
