
---------- Begin Simulation Statistics ----------
final_tick                                 2921440500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 110346                       # Simulator instruction rate (inst/s)
host_mem_usage                                 706980                       # Number of bytes of host memory used
host_op_rate                                   197648                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    90.62                       # Real time elapsed on the host
host_tick_rate                               32236937                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      17911679                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.002921                       # Number of seconds simulated
sim_ticks                                  2921440500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   4861823                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  4238887                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      17911679                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.584288                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.584288                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  12298091                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  6925618                       # number of floating regfile writes
system.cpu.idleCycles                          139556                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                16637                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1115147                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.129800                       # Inst execution rate
system.cpu.iew.exec_refs                      2784276                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     485112                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  174528                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2317661                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 25                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1136                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               496710                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            18561467                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2299164                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             24897                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18287050                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1290                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 42072                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  14010                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 43945                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            149                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        13618                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           3019                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  25023859                       # num instructions consuming a value
system.cpu.iew.wb_count                      18271777                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.573250                       # average fanout of values written-back
system.cpu.iew.wb_producers                  14344937                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.127186                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18277722                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 18673254                       # number of integer regfile reads
system.cpu.int_regfile_writes                 9655176                       # number of integer regfile writes
system.cpu.ipc                               1.711484                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.711484                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            318959      1.74%      1.74% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               9867436     53.89%     55.63% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                 1854      0.01%     55.64% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 99786      0.54%     56.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              425483      2.32%     58.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     58.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     58.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     58.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     58.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     58.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     58.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     58.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3087      0.02%     58.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     58.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               851305      4.65%     63.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   12      0.00%     63.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7421      0.04%     63.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              848296      4.63%     67.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  64      0.00%     67.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     67.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2875      0.02%     67.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     67.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     67.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     67.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         1405559      7.68%     75.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          702990      3.84%     79.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               2      0.00%     79.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult         984238      5.37%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     84.75% # Type of FU issued
