
---------- Begin Simulation Statistics ----------
final_tick                                 7961566000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 109158                       # Simulator instruction rate (inst/s)
host_mem_usage                                 706976                       # Number of bytes of host memory used
host_op_rate                                   193340                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   274.83                       # Real time elapsed on the host
host_tick_rate                               28968886                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000000                       # Number of instructions simulated
sim_ops                                      53136004                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.007962                       # Number of seconds simulated
sim_ticks                                  7961566000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12636658                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 12010927                       # number of cc regfile writes
system.cpu.committedInsts                    30000000                       # Number of Instructions Simulated
system.cpu.committedOps                      53136004                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.530771                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.530771                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  38281270                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 21562531                       # number of floating regfile writes
system.cpu.idleCycles                          139556                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                16677                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  3208413                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.363600                       # Inst execution rate
system.cpu.iew.exec_refs                      8166325                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1383136                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  183960                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               6801726                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 25                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1136                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1395254                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            53844986                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               6783189                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             25395                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              53559056                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1375                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 44569                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  14359                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 46592                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            164                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        13652                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           3025                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  72058629                       # num instructions consuming a value
system.cpu.iew.wb_count                      53542839                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.581652                       # average fanout of values written-back
system.cpu.iew.wb_producers                  41913081                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.362582                       # insts written-back per cycle
system.cpu.iew.wb_sent                       53549218                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 52161405                       # number of integer regfile reads
system.cpu.int_regfile_writes                26700363                       # number of integer regfile writes
system.cpu.ipc                               1.884051                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.884051                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            917083      1.71%      1.71% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              28107952     52.46%     54.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                 1890      0.00%     54.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 99786      0.19%     54.36% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1322368      2.47%     56.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     56.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     56.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     56.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     56.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     56.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     56.82% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     56.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3087      0.01%     56.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     56.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu              2644619      4.94%     61.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   12      0.00%     61.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7421      0.01%     61.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2640863      4.93%     66.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                 208      0.00%     66.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     66.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2875      0.01%     66.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     66.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     66.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     66.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         4390880      8.19%     74.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     74.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     74.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt         2196030      4.10%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               2      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        3074680      5.74%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     84.74% # Type of FU issued
