
---------- Begin Simulation Statistics ----------
final_tick                                 2965652000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 104916                       # Simulator instruction rate (inst/s)
host_mem_usage                                 706980                       # Number of bytes of host memory used
host_op_rate                                   187921                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    95.32                       # Real time elapsed on the host
host_tick_rate                               31114203                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      17911679                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.002966                       # Number of seconds simulated
sim_ticks                                  2965652000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   4893895                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  4262036                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      17911679                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.593131                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.593131                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  12297263                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  6924324                       # number of floating regfile writes
system.cpu.idleCycles                          139629                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                20667                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1118260                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.094045                       # Inst execution rate
system.cpu.iew.exec_refs                      2797022                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     487140                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  195216                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2330254                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 25                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1779                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               500934                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            18801400                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2309882                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             26896                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18351727                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1255                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 43207                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  18100                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 45020                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            150                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        13154                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           7513                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  25255279                       # num instructions consuming a value
system.cpu.iew.wb_count                      18335193                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.570032                       # average fanout of values written-back
system.cpu.iew.wb_producers                  14396309                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.091258                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18341735                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 18795351                       # number of integer regfile reads
system.cpu.int_regfile_writes                 9729311                       # number of integer regfile writes
system.cpu.ipc                               1.685970                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.685970                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            318835      1.73%      1.73% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               9914408     53.95%     55.68% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                 2179      0.01%     55.69% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                106677      0.58%     56.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              424962      2.31%     58.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     58.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     58.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     58.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     58.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     58.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     58.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     58.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3011      0.02%     58.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     58.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               851488      4.63%     63.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   18      0.00%     63.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7189      0.04%     63.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              848383      4.62%     67.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  64      0.00%     67.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     67.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2754      0.01%     67.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     67.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     67.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     67.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         1405573      7.65%     75.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          702991      3.83%     79.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               2      0.00%     79.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult         984234      5.36%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead               758896      4.13%     88.86% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite              480495      2.61%     91.48% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         1558082      8.48%     99.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite           8352      0.05%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               18378625                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 7361406                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads            14722793                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      7356629                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            7417221                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      161688                       # FU busy when requested
