
---------- Begin Simulation Statistics ----------
final_tick                                 2956809500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  91918                       # Simulator instruction rate (inst/s)
host_mem_usage                                 706980                       # Number of bytes of host memory used
host_op_rate                                   164641                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   108.79                       # Real time elapsed on the host
host_tick_rate                               27178376                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      17911679                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.002957                       # Number of seconds simulated
sim_ticks                                  2956809500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   4883816                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  4254712                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      17911679                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.591362                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.591362                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  12294939                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  6922551                       # number of floating regfile writes
system.cpu.idleCycles                          140854                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                18665                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1115324                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.097148                       # Inst execution rate
system.cpu.iew.exec_refs                      2788244                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     485022                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  188193                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2320624                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 25                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1601                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               496435                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            18748209                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2303222                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             23366                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18315355                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1288                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 41353                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  16698                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 43195                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            157                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        11191                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           7474                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  25210013                       # num instructions consuming a value
system.cpu.iew.wb_count                      18300361                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.570121                       # average fanout of values written-back
system.cpu.iew.wb_producers                  14372757                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.094612                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18306283                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 18752029                       # number of integer regfile reads
system.cpu.int_regfile_writes                 9700110                       # number of integer regfile writes
system.cpu.ipc                               1.691012                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.691012                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            317779      1.73%      1.73% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               9887695     53.92%     55.65% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                 2102      0.01%     55.66% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                106076      0.58%     56.24% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              424380      2.31%     58.55% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     58.55% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     58.55% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     58.55% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     58.55% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     58.55% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     58.55% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     58.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 2988      0.02%     58.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     58.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               851283      4.64%     63.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   12      0.00%     63.21% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 6993      0.04%     63.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              848273      4.63%     67.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  64      0.00%     67.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     67.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2433      0.01%     67.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     67.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     67.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     67.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         1405591      7.66%     75.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.55% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          702998      3.83%     79.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               2      0.00%     79.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult         984240      5.37%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     84.75% # Type of FU issued
