
---------- Begin Simulation Statistics ----------
final_tick                                 2916799500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 107428                       # Simulator instruction rate (inst/s)
host_mem_usage                                 707300                       # Number of bytes of host memory used
host_op_rate                                   192421                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    93.09                       # Real time elapsed on the host
host_tick_rate                               31334617                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      17911641                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.002917                       # Number of seconds simulated
sim_ticks                                  2916799500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   4855655                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  4235001                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      17911641                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.583360                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.583360                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  12297482                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  6924649                       # number of floating regfile writes
system.cpu.idleCycles                          139461                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                15414                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1113435                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.132026                       # Inst execution rate
system.cpu.iew.exec_refs                      2781009                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     484381                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  172176                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2313569                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 25                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1009                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               495172                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            18544406                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2296628                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             22765                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18270985                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1309                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 41197                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  13212                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 43037                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            151                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        11923                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           3491                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  25020303                       # num instructions consuming a value
system.cpu.iew.wb_count                      18256708                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.573032                       # average fanout of values written-back
system.cpu.iew.wb_producers                  14337426                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.129578                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18262138                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 18659574                       # number of integer regfile reads
system.cpu.int_regfile_writes                 9645150                       # number of integer regfile writes
system.cpu.ipc                               1.714207                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.714207                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            317653      1.74%      1.74% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               9854826     53.87%     55.61% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                 1816      0.01%     55.62% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                100490      0.55%     56.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              424928      2.32%     58.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     58.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  42      0.00%     58.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     58.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     58.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     58.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     58.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     58.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3152      0.02%     58.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     58.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               851043      4.65%     63.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   12      0.00%     63.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7443      0.04%     63.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              848328      4.64%     67.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  64      0.00%     67.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     67.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2710      0.01%     67.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     67.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     67.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     67.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         1405547      7.68%     75.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          702985      3.84%     79.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               2      0.00%     79.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult         984228      5.38%     84.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     84.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     84.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     84.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     84.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     84.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     84.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     84.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     84.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     84.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     84.76% # Type of FU issued
