
---------- Begin Simulation Statistics ----------
final_tick                                 2889498500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  93001                       # Simulator instruction rate (inst/s)
host_mem_usage                                 708324                       # Number of bytes of host memory used
host_op_rate                                   166579                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   107.53                       # Real time elapsed on the host
host_tick_rate                               26872504                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000000                       # Number of instructions simulated
sim_ops                                      17911641                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.002889                       # Number of seconds simulated
sim_ticks                                  2889498500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   4823820                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  4201329                       # number of cc regfile writes
system.cpu.committedInsts                    10000000                       # Number of Instructions Simulated
system.cpu.committedOps                      17911641                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.577900                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.577900                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  12292593                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  6920496                       # number of floating regfile writes
system.cpu.idleCycles                          144756                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                 9872                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1107069                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.143687                       # Inst execution rate
system.cpu.iew.exec_refs                      2758802                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     478767                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  155010                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2290697                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 23                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1029                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               484624                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            18352205                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2280035                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             14338                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18167361                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1281                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 40813                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                   8889                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 42737                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            139                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         6538                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           3334                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  24875410                       # num instructions consuming a value
system.cpu.iew.wb_count                      18157381                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.573389                       # average fanout of values written-back
system.cpu.iew.wb_producers                  14263283                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.141960                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18161102                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 18516467                       # number of integer regfile reads
system.cpu.int_regfile_writes                 9560844                       # number of integer regfile writes
system.cpu.ipc                               1.730404                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.730404                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            314432      1.73%      1.73% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               9775281     53.76%     55.49% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                 1602      0.01%     55.50% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 99742      0.55%     56.05% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              423685      2.33%     58.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     58.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     58.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     58.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     58.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     58.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     58.38% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     58.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 3125      0.02%     58.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     58.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               850017      4.68%     63.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   18      0.00%     63.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 7128      0.04%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              848300      4.67%     67.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                  64      0.00%     67.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     67.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               2164      0.01%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     67.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         1405548      7.73%     75.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          702988      3.87%     79.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               2      0.00%     79.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.39% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult         984228      5.41%     84.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     84.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     84.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     84.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     84.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     84.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     84.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     84.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     84.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     84.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     84.80% # Type of FU issued
