
---------- Begin Simulation Statistics ----------
final_tick                                12129407000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  89568                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725116                       # Number of bytes of host memory used
host_op_rate                                   139898                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   334.94                       # Real time elapsed on the host
host_tick_rate                               36213534                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000000                       # Number of instructions simulated
sim_ops                                      46857538                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.012129                       # Number of seconds simulated
sim_ticks                                 12129407000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  26416497                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 25591515                       # number of cc regfile writes
system.cpu.committedInsts                    30000000                       # Number of Instructions Simulated
system.cpu.committedOps                      46857538                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.808627                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.808627                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2451515                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1697055                       # number of floating regfile writes
system.cpu.idleCycles                          132850                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               199931                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  3709870                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.163473                       # Inst execution rate
system.cpu.iew.exec_refs                     13686197                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    4302074                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1794374                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              10169329                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                955                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2507                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              4399479                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            56397316                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               9384123                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            413138                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              52483280                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   9944                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2267473                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 177715                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2281013                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            692                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       108408                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          91523                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  69449072                       # num instructions consuming a value
system.cpu.iew.wb_count                      52148519                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.560020                       # average fanout of values written-back
system.cpu.iew.wb_producers                  38892902                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.149673                       # insts written-back per cycle
system.cpu.iew.wb_sent                       52285674                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 88050344                       # number of integer regfile reads
system.cpu.int_regfile_writes                42009634                       # number of integer regfile writes
system.cpu.ipc                               1.236664                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.236664                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            675934      1.28%      1.28% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              36843417     69.65%     70.93% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  105      0.00%     70.93% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43382      0.08%     71.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              479597      0.91%     71.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     71.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1398      0.00%     71.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     71.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     71.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     71.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     71.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     71.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9159      0.02%     71.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     71.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                50274      0.10%     72.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     72.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20728      0.04%     72.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              949256      1.79%     73.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     73.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     73.87% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               6981      0.01%     73.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     73.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     73.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     73.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     73.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     73.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     73.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           19020      0.04%     73.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     73.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     73.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           9720      0.02%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     73.94% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              9403884     17.78%     91.71% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             3793615      7.17%     98.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead           59941      0.11%     99.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         530002      1.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               52896419                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 2374480                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             4633182                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      2225797                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            2467024                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      831217                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.015714                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  343393     41.31%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      1      0.00%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     41.31% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                    197      0.02%     41.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     41.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                   1030      0.12%     41.46% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                114855     13.82%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   35      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     55.28% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                 361493     43.49%     98.77% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                  8466      1.02%     99.79% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead               671      0.08%     99.87% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite             1076      0.13%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses               50677222                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads          126155448                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses     49922722                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes          63470678                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                   56395874                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                  52896419                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                1442                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined         9539720                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued             38611                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved            239                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined     16239972                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples      24125965                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         2.192510                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        2.231256                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0             8308085     34.44%     34.44% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1             3157168     13.09%     47.52% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2             3254976     13.49%     61.01% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3             3145017     13.04%     74.05% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4             1786167      7.40%     81.45% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5             1733200      7.18%     88.64% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6             1729129      7.17%     95.80% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7              488978      2.03%     97.83% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8              523245      2.17%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total        24125965                       # Number of insts issued each cycle
system.cpu.iq.rate                           2.180503                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                      0                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads                  0                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses            0                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes                 0                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads            849690                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores           302400                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads             10169329                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores             4399479                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads                21494799                       # number of misc regfile reads
system.cpu.misc_regfile_writes                    702                       # number of misc regfile writes
system.cpu.numCycles                         24258815                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                            1496                       # Number of times that the entire CPU went into an idle state and unscheduled itself
