
---------- Begin Simulation Statistics ----------
final_tick                                 6304743000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  77594                       # Simulator instruction rate (inst/s)
host_mem_usage                                 724096                       # Number of bytes of host memory used
host_op_rate                                   124279                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   128.88                       # Real time elapsed on the host
host_tick_rate                               48920612                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000004                       # Number of instructions simulated
sim_ops                                      16016672                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006305                       # Number of seconds simulated
sim_ticks                                  6304743000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   9251672                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  8602972                       # number of cc regfile writes
system.cpu.committedInsts                    10000004                       # Number of Instructions Simulated
system.cpu.committedOps                      16016672                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.260948                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.260948                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    981965                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   521783                       # number of floating regfile writes
system.cpu.idleCycles                          131413                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                80575                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1380850                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.451649                       # Inst execution rate
system.cpu.iew.exec_refs                      4570371                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1569088                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1133664                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3255162                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                940                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2368                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1621702                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            19807336                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               3001283                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            159201                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18304543                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  10000                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2377345                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  70181                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2390869                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            331                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        48791                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          31784                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  24122386                       # num instructions consuming a value
system.cpu.iew.wb_count                      18175966                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.560821                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13528349                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.441452                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18235154                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 29945302                       # number of integer regfile reads
system.cpu.int_regfile_writes                14634274                       # number of integer regfile writes
system.cpu.ipc                               0.793054                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.793054                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            232097      1.26%      1.26% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              13108152     70.99%     72.25% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   95      0.00%     72.25% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43415      0.24%     72.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              135032      0.73%     73.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     73.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1387      0.01%     73.23% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     73.23% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     73.23% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     73.23% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     73.23% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     73.23% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9106      0.05%     73.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     73.27% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                28862      0.16%     73.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     73.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20530      0.11%     73.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              256612      1.39%     74.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     74.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     74.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               6781      0.04%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     74.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            6122      0.03%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     75.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           3062      0.02%     75.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     75.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     75.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     75.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     75.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     75.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     75.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     75.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     75.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     75.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     75.02% # Type of FU issued
