
---------- Begin Simulation Statistics ----------
final_tick                                14303222000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  71200                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725120                       # Number of bytes of host memory used
host_op_rate                                   111209                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   421.35                       # Real time elapsed on the host
host_tick_rate                               33946396                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000002                       # Number of instructions simulated
sim_ops                                      46857540                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.014303                       # Number of seconds simulated
sim_ticks                                 14303222000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  27927330                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 26261809                       # number of cc regfile writes
system.cpu.committedInsts                    30000002                       # Number of Instructions Simulated
system.cpu.committedOps                      46857540                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.953548                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.953548                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2513687                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1734626                       # number of floating regfile writes
system.cpu.idleCycles                          132371                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               475744                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  3962384                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.032839                       # Inst execution rate
system.cpu.iew.exec_refs                     14521886                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    4333082                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 3239708                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              12626332                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                927                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              3805                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              4483304                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            69057882                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              10188804                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1101606                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              58152308                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  12047                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2219136                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 405030                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2236159                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            697                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       242689                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         233055                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  75283928                       # num instructions consuming a value
system.cpu.iew.wb_count                      57401519                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.580398                       # average fanout of values written-back
system.cpu.iew.wb_producers                  43694621                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.006594                       # insts written-back per cycle
system.cpu.iew.wb_sent                       57747112                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 91510211                       # number of integer regfile reads
system.cpu.int_regfile_writes                47192462                       # number of integer regfile writes
system.cpu.ipc                               1.048715                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.048715                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            647383      1.09%      1.09% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              42315689     71.41%     72.51% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   85      0.00%     72.51% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 48415      0.08%     72.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              477356      0.81%     73.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     73.39% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1493      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9101      0.02%     73.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     73.41% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                71995      0.12%     73.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     73.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20505      0.03%     73.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              949395      1.60%     75.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     75.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     75.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               5865      0.01%     75.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     75.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     75.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     75.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     75.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           25899      0.04%     75.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     75.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     75.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          11648      0.02%     75.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     75.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     75.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     75.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     75.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     75.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     75.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     75.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     75.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     75.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     75.24% # Type of FU issued
