
---------- Begin Simulation Statistics ----------
final_tick                                 6916281500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  65899                       # Simulator instruction rate (inst/s)
host_mem_usage                                 728188                       # Number of bytes of host memory used
host_op_rate                                   105548                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   151.75                       # Real time elapsed on the host
host_tick_rate                               45577332                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000004                       # Number of instructions simulated
sim_ops                                      16016672                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006916                       # Number of seconds simulated
sim_ticks                                  6916281500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   9696225                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  8800965                       # number of cc regfile writes
system.cpu.committedInsts                    10000004                       # Number of Instructions Simulated
system.cpu.committedOps                      16016672                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.383256                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.383256                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1016043                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   538479                       # number of floating regfile writes
system.cpu.idleCycles                          134951                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               160329                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1455929                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.442312                       # Inst execution rate
system.cpu.iew.exec_refs                      4856387                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1600249                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1515595                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3951010                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                939                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6354                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1680752                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23411545                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               3256138                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            348565                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              19950877                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  10252                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2331367                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 136935                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2345503                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            362                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        86889                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          73440                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  25885092                       # num instructions consuming a value
system.cpu.iew.wb_count                      19703042                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.575369                       # average fanout of values written-back
system.cpu.iew.wb_producers                  14893481                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.424396                       # insts written-back per cycle
system.cpu.iew.wb_sent                       19818197                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 31110891                       # number of integer regfile reads
system.cpu.int_regfile_writes                16116670                       # number of integer regfile writes
system.cpu.ipc                               0.722932                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.722932                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            219105      1.08%      1.08% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              14634611     72.09%     73.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  186      0.00%     73.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 48417      0.24%     73.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              134831      0.66%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1491      0.01%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9149      0.05%     74.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     74.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                39217      0.19%     74.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     74.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20700      0.10%     74.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              258283      1.27%     75.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     75.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     75.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               6344      0.03%     75.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     75.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     75.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     75.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     75.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            7860      0.04%     75.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     75.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     75.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           3536      0.02%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     75.78% # Type of FU issued
