
---------- Begin Simulation Statistics ----------
final_tick                                12158550500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  86650                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725116                       # Number of bytes of host memory used
host_op_rate                                   135340                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   346.22                       # Real time elapsed on the host
host_tick_rate                               35117809                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000000                       # Number of instructions simulated
sim_ops                                      46857538                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.012159                       # Number of seconds simulated
sim_ticks                                 12158550500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  26423765                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 25599318                       # number of cc regfile writes
system.cpu.committedInsts                    30000000                       # Number of Instructions Simulated
system.cpu.committedOps                      46857538                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.810570                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.810570                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2448574                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1695361                       # number of floating regfile writes
system.cpu.idleCycles                          131557                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               201436                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  3713606                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.162507                       # Inst execution rate
system.cpu.iew.exec_refs                     13699541                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    4300810                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1817424                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              10211952                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                947                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2479                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              4395219                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            56609071                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               9398731                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            420139                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              52585913                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  10013                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2289733                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 179571                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2303373                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            693                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       106042                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          95394                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  69561045                       # num instructions consuming a value
system.cpu.iew.wb_count                      52243581                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.560419                       # average fanout of values written-back
system.cpu.iew.wb_producers                  38983308                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.148430                       # insts written-back per cycle
system.cpu.iew.wb_sent                       52384228                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 88122314                       # number of integer regfile reads
system.cpu.int_regfile_writes                42107809                       # number of integer regfile writes
system.cpu.ipc                               1.233700                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.233700                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            674721      1.27%      1.27% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              36943214     69.70%     70.97% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   97      0.00%     70.97% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43419      0.08%     71.05% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              479356      0.90%     71.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     71.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1414      0.00%     71.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     71.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     71.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     71.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     71.96% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     71.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9105      0.02%     71.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     71.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                49804      0.09%     72.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     72.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20584      0.04%     72.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              949166      1.79%     73.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     73.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     73.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               6741      0.01%     73.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     73.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     73.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     73.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     73.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     73.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     73.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           18812      0.04%     73.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     73.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     73.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           9602      0.02%     73.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     73.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     73.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     73.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     73.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     73.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     73.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     73.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     73.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     73.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     73.97% # Type of FU issued
