
---------- Begin Simulation Statistics ----------
final_tick                                12418063000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  81170                       # Simulator instruction rate (inst/s)
host_mem_usage                                 724096                       # Number of bytes of host memory used
host_op_rate                                   126781                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   369.59                       # Real time elapsed on the host
host_tick_rate                               33599285                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000000                       # Number of instructions simulated
sim_ops                                      46857538                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.012418                       # Number of seconds simulated
sim_ticks                                 12418063000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  26523027                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 25679309                       # number of cc regfile writes
system.cpu.committedInsts                    30000000                       # Number of Instructions Simulated
system.cpu.committedOps                      46857538                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.827871                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.827871                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2452328                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1697709                       # number of floating regfile writes
system.cpu.idleCycles                          133787                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               226039                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  3739689                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.143115                       # Inst execution rate
system.cpu.iew.exec_refs                     13776331                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    4304163                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1977342                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              10459435                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                941                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2444                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              4401327                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            57956135                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               9472168                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            478529                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              53226681                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  10494                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2417676                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 200607                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2432373                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            683                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       110795                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         115244                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  70182153                       # num instructions consuming a value
system.cpu.iew.wb_count                      52847640                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.563092                       # average fanout of values written-back
system.cpu.iew.wb_producers                  39519006                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.127854                       # insts written-back per cycle
system.cpu.iew.wb_sent                       53010962                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 88552843                       # number of integer regfile reads
system.cpu.int_regfile_writes                42702138                       # number of integer regfile writes
system.cpu.ipc                               1.207918                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.207918                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            674038      1.26%      1.26% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              37559079     69.94%     71.19% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   77      0.00%     71.19% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43589      0.08%     71.27% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              478012      0.89%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1392      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9156      0.02%     72.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     72.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                51491      0.10%     72.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     72.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20486      0.04%     72.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              948981      1.77%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               6341      0.01%     74.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     74.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     74.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     74.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     74.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     74.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     74.09% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           19818      0.04%     74.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     74.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     74.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           9871      0.02%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     74.15% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              9497457     17.68%     91.83% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             3796063      7.07%     98.90% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead           60285      0.11%     99.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         529069      0.99%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               53705211                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 2373113                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             4629456                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      2224995                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            2462558                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      829363                       # FU busy when requested
