
---------- Begin Simulation Statistics ----------
final_tick                                 6903623500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  66364                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725116                       # Number of bytes of host memory used
host_op_rate                                   106292                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   150.69                       # Real time elapsed on the host
host_tick_rate                               45814782                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000004                       # Number of instructions simulated
sim_ops                                      16016672                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006904                       # Number of seconds simulated
sim_ticks                                  6903623500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   9714186                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  8820764                       # number of cc regfile writes
system.cpu.committedInsts                    10000004                       # Number of Instructions Simulated
system.cpu.committedOps                      16016672                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.380724                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.380724                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1014335                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   536918                       # number of floating regfile writes
system.cpu.idleCycles                          135261                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               158862                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1455785                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.445478                       # Inst execution rate
system.cpu.iew.exec_refs                      4855922                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1599613                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1483944                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3950771                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                968                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              5157                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1674836                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23415014                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               3256309                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            348038                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              19958068                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   9879                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2443887                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 136194                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2457477                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            368                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        85846                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          73016                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  25896944                       # num instructions consuming a value
system.cpu.iew.wb_count                      19708787                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.575638                       # average fanout of values written-back
system.cpu.iew.wb_producers                  14907257                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.427423                       # insts written-back per cycle
system.cpu.iew.wb_sent                       19822224                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 31116294                       # number of integer regfile reads
system.cpu.int_regfile_writes                16123421                       # number of integer regfile writes
system.cpu.ipc                               0.724258                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.724258                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            217947      1.07%      1.07% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              14645182     72.12%     73.20% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   53      0.00%     73.20% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 48487      0.24%     73.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              133140      0.66%     74.09% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     74.09% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1504      0.01%     74.10% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     74.10% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     74.10% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     74.10% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     74.10% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     74.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9323      0.05%     74.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     74.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                40019      0.20%     74.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     74.34% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                21138      0.10%     74.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              256748      1.26%     75.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     75.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     75.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               6213      0.03%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            8093      0.04%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           3652      0.02%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     75.80% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              3251652     16.01%     91.81% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1255951      6.19%     98.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead           44888      0.22%     98.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         362113      1.78%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               20306109                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  953575                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             1875503                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       893112                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            1092104                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      283964                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.013984                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  138014     48.60%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      1      0.00%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     48.60% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                    165      0.06%     48.66% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     48.66% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                   1011      0.36%     49.02% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                 29530     10.40%     59.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     59.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     59.42% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   59      0.02%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     59.44% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                 103655     36.50%     95.94% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                 10008      3.52%     99.46% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead               662      0.23%     99.70% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite              859      0.30%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses               19418551                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads           52726600                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses     18815675                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes          29721521                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                   23413531                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                  20306109                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                1483                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined         7398276                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued             33937                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved            280                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined     14268152                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples      13671987                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.485235                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        2.108995                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0             7594856     55.55%     55.55% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1             1307647      9.56%     65.11% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2             1127630      8.25%     73.36% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3             1164734      8.52%     81.88% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4              801203      5.86%     87.74% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5              631899      4.62%     92.36% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6              623780      4.56%     96.93% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7              219891      1.61%     98.53% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8              200347      1.47%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total        13671987                       # Number of insts issued each cycle
system.cpu.iq.rate                           1.470685                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                      0                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads                  0                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses            0                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes                 0                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads            260780                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores            99993                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads              3950771                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores             1674836                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads                 8399800                       # number of misc regfile reads
system.cpu.misc_regfile_writes                    702                       # number of misc regfile writes
system.cpu.numCycles                         13807248                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                            1523                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.workload.numSyscalls                    85                       # Number of system calls
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests        38452                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests         85531                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
system.tol2bus.snoop_filter.hit_multi_requests           43                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_single_requests        61965                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.hit_single_snoops          899                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.tot_requests       124952                       # Total number of requests made to the snoop filter.
system.tol2bus.snoop_filter.tot_snoops            899                       # Total number of snoops made to the snoop filter.
system.clk_domain.clock                           250                       # Clock period in ticks
system.cpu.branchPred.lookups                 2950299                       # Number of BP lookups
system.cpu.branchPred.condPredicted           2436583                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect            136061                       # Number of conditional branches incorrect
system.cpu.branchPred.BTBLookups              1514006                       # Number of BTB lookups
system.cpu.branchPred.BTBHits                 1495998                       # Number of BTB hits
