
---------- Begin Simulation Statistics ----------
final_tick                                 6165188500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  71132                       # Simulator instruction rate (inst/s)
host_mem_usage                                 726468                       # Number of bytes of host memory used
host_op_rate                                   113930                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   140.58                       # Real time elapsed on the host
host_tick_rate                               43854330                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000004                       # Number of instructions simulated
sim_ops                                      16016672                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006165                       # Number of seconds simulated
sim_ticks                                  6165188500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   9128739                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  8510708                       # number of cc regfile writes
system.cpu.committedInsts                    10000004                       # Number of Instructions Simulated
system.cpu.committedOps                      16016672                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.233037                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.233037                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    984583                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   519970                       # number of floating regfile writes
system.cpu.idleCycles                          133565                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                54687                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1341844                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.447993                       # Inst execution rate
system.cpu.iew.exec_refs                      4502095                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1548732                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1064385                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3164878                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                908                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2083                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1585483                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            19117157                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2953363                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            113318                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              17854305                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  10041                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2321760                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  49663                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2335611                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            292                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        28733                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          25954                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  23766110                       # num instructions consuming a value
system.cpu.iew.wb_count                      17748533                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.557559                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13250999                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.439415                       # insts written-back per cycle
system.cpu.iew.wb_sent                       17798119                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 29446293                       # number of integer regfile reads
system.cpu.int_regfile_writes                14278560                       # number of integer regfile writes
system.cpu.ipc                               0.811005                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.811005                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            207623      1.16%      1.16% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              12723870     70.82%     71.97% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   47      0.00%     71.97% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43923      0.24%     72.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              131123      0.73%     72.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     72.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1421      0.01%     72.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     72.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     72.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     72.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     72.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     72.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9207      0.05%     73.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     73.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                30824      0.17%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     73.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20390      0.11%     73.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              256393      1.43%     74.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     74.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     74.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4674      0.03%     74.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     74.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     74.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     74.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     74.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     74.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     74.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            6632      0.04%     74.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     74.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     74.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           3620      0.02%     74.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     74.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     74.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     74.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     74.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     74.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     74.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     74.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     74.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     74.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     74.80% # Type of FU issued
