
---------- Begin Simulation Statistics ----------
final_tick                                 6341513000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  72140                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725440                       # Number of bytes of host memory used
host_op_rate                                   115544                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   138.62                       # Real time elapsed on the host
host_tick_rate                               45747452                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000004                       # Number of instructions simulated
sim_ops                                      16016672                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006342                       # Number of seconds simulated
sim_ticks                                  6341513000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   9288254                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  8603452                       # number of cc regfile writes
system.cpu.committedInsts                    10000004                       # Number of Instructions Simulated
system.cpu.committedOps                      16016672                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.268302                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.268302                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    973500                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   513207                       # number of floating regfile writes
system.cpu.idleCycles                          133172                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                75396                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1379960                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.450602                       # Inst execution rate
system.cpu.iew.exec_refs                      4584722                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1555580                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1187999                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3321627                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                964                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2514                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1601171                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20091933                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               3029142                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            166167                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18398020                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  10242                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2306411                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  66512                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2320544                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            308                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        38738                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          36658                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  24315839                       # num instructions consuming a value
system.cpu.iew.wb_count                      18254643                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.562497                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13677588                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.439297                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18322091                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 29935312                       # number of integer regfile reads
system.cpu.int_regfile_writes                14757612                       # number of integer regfile writes
system.cpu.ipc                               0.788456                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.788456                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            216753      1.17%      1.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              13224201     71.24%     72.40% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   71      0.00%     72.40% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 44041      0.24%     72.64% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              131127      0.71%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1475      0.01%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     73.35% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9156      0.05%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     73.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                28566      0.15%     73.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     73.56% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20226      0.11%     73.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              256285      1.38%     75.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     75.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     75.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4948      0.03%     75.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     75.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     75.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     75.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     75.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            5546      0.03%     75.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     75.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     75.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           2809      0.02%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     75.12% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              3015919     16.25%     91.36% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1208724      6.51%     97.88% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead           37715      0.20%     98.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         356622      1.92%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               18564190                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  920855                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             1809944                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       865618                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes             996108                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      281043                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.015139                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  138948     49.44%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      2      0.00%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     49.44% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                    155      0.06%     49.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     49.50% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    910      0.32%     49.82% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                 29555     10.52%     60.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     60.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     60.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                   76      0.03%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     60.36% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                 101631     36.16%     96.53% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                  8385      2.98%     99.51% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead               574      0.20%     99.71% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite              807      0.29%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses               17707625                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads           48161173                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses     17389025                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes          23171314                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                   20090459                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                  18564190                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                1474                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined         4075195                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued             11842                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved            271                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined      6975164                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples      12549855                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.479235                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        2.102912                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0             6955488     55.42%     55.42% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1             1207354      9.62%     65.04% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2             1099965      8.76%     73.81% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3             1061219      8.46%     82.26% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4              680393      5.42%     87.69% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5              591337      4.71%     92.40% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6              568022      4.53%     96.92% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7              201756      1.61%     98.53% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8              184321      1.47%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total        12549855                       # Number of insts issued each cycle
system.cpu.iq.rate                           1.463703                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                      0                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads                  0                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses            0                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes                 0                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads            251208                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores            94130                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads              3321627                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores             1601171                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads                 7565005                       # number of misc regfile reads
system.cpu.misc_regfile_writes                    702                       # number of misc regfile writes
system.cpu.numCycles                         12683027                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                            1496                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.workload.numSyscalls                    85                       # Number of system calls
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests        38403                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests         85436                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
system.tol2bus.snoop_filter.hit_multi_requests           31                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_single_requests        59444                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.hit_single_snoops          892                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.tot_requests       119909                       # Total number of requests made to the snoop filter.
system.tol2bus.snoop_filter.tot_snoops            892                       # Total number of snoops made to the snoop filter.
system.clk_domain.clock                           250                       # Clock period in ticks
system.cpu.branchPred.lookups                 2042311                       # Number of BP lookups
system.cpu.branchPred.condPredicted           1558791                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect             66017                       # Number of conditional branches incorrect
system.cpu.branchPred.BTBLookups              1072604                       # Number of BTB lookups
system.cpu.branchPred.BTBHits                 1063380                       # Number of BTB hits
system.cpu.branchPred.BTBHitPct             99.140037                       # BTB Hit Percentage
system.cpu.branchPred.RASUsed                  191297                       # Number of times the RAS was used to get a target.
system.cpu.branchPred.RASIncorrect                 13                       # Number of incorrect RAS predictions.
system.cpu.branchPred.indirectLookups           20798                       # Number of indirect predictor lookups.
system.cpu.branchPred.indirectHits              10808                       # Number of indirect target hits.
system.cpu.branchPred.indirectMisses             9990                       # Number of indirect misses.
system.cpu.branchPred.indirectMispredicted         1834                       # Number of mispredicted indirect branches.
system.cpu.commit.commitSquashedInsts         4068907                       # The number of squashed insts skipped by commit
system.cpu.commit.commitNonSpecStalls            1203                       # The number of times commit has been forced to stall to communicate backwards
system.cpu.commit.branchMispredicts             65319                       # The number of times a branch was mispredicted
system.cpu.commit.numCommittedDist::samples     12004587                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     1.334213                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     2.214993                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
