
---------- Begin Simulation Statistics ----------
final_tick                                 6326960500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  65068                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725444                       # Number of bytes of host memory used
host_op_rate                                   104218                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   153.68                       # Real time elapsed on the host
host_tick_rate                               41168421                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000004                       # Number of instructions simulated
sim_ops                                      16016672                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006327                       # Number of seconds simulated
sim_ticks                                  6326960500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   9149649                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  8513242                       # number of cc regfile writes
system.cpu.committedInsts                    10000004                       # Number of Instructions Simulated
system.cpu.committedOps                      16016672                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.265392                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.265392                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    957840                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   503675                       # number of floating regfile writes
system.cpu.idleCycles                          131383                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                73233                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1331828                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.433197                       # Inst execution rate
system.cpu.iew.exec_refs                      4512616                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1529907                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1180516                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3367943                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                923                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1801                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1556718                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20050018                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2982709                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            149426                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18135561                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  10624                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2345801                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  65829                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2360905                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            299                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        35127                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          38106                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  24107387                       # num instructions consuming a value
system.cpu.iew.wb_count                      17999956                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.562397                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13557930                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.422480                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18066978                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 29409957                       # number of integer regfile reads
system.cpu.int_regfile_writes                14597963                       # number of integer regfile writes
system.cpu.ipc                               0.790269                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.790269                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            200837      1.10%      1.10% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              13051274     71.38%     72.48% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   59      0.00%     72.48% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43807      0.24%     72.72% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              130835      0.72%     73.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     73.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1451      0.01%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     73.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9169      0.05%     73.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     73.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                23356      0.13%     73.62% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     73.62% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20049      0.11%     73.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              256185      1.40%     75.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     75.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     75.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4288      0.02%     75.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     75.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     75.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     75.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     75.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            4400      0.02%     75.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     75.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     75.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           2187      0.01%     75.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     75.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     75.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     75.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     75.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     75.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     75.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     75.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     75.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     75.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     75.19% # Type of FU issued
